,name,Length Of Movie (minute),year,idbm_year,director_1,gender_director,writer_1,writer_2,writer_3,star_1,star_2,star_3,genre_1,genre_2,genre_3,rating,director movie amount,writer1 movie amount,star1 movie amount,star2 movie amount,star3 movie amount,average rating genre,director rating avg,star1 rating avg,star2 rating avg,star3 rating avg,writer1 rating avg,Action,Drama,Comedy
1314,Diner,110.0,1982,1982,Barry Levinson,1,Barry Levinson,,,Steve Guttenberg,Mickey Rourke,Kevin Bacon,Comedy,Drama,,7.1,21,6,9,5,4,6.016,6.5,5.767,6.8,6.975,6.567,0.0,0.0,10.0
1315,E.T. the Extra-Terrestrial,115.0,1982,1982,Steven Spielberg,1,Melissa Mathison,,,Henry Thomas,Drew Barrymore,Peter Coyote,Adventure,Family,Sci-Fi,7.8,28,4,2,11,5,6.206,7.382,7.5,6.564,6.8,7.15,0.0,0.0,0.0
1316,Eating Raoul,90.0,1982,1982,Paul Bartel,1,Paul Bartel,Richard Blackburn,,Mary Woronov,Paul Bartel,Robert Beltran,Comedy,Crime,,6.8,5,4,2,2,2,6.016,5.88,6.35,6.35,6.6,5.8,0.0,0.0,3.0
1317,Fast Times at Ridgemont High,90.0,1982,1982,Amy Heckerling,0,Cameron Crowe,,,Sean Penn,Jennifer Jason Leigh,Judge Reinhold,Comedy,Drama,,7.2,7,8,16,8,4,6.016,6.1,6.581,6.637,6.425,6.8,0.0,0.0,6.0
1318,Fast-Walking,115.0,1982,1982,James B. Harris,1,Ernest Brawley,James B. Harris,,James Woods,Tim McIntire,Kay Lenz,Drama,,,6.4,3,1,9,2,1,6.459,6.067,6.589,6.35,6.4,6.4,0.0,2.0,0.0
1319,Fighting Back,98.0,1982,1982,Lewis Teague,1,Thomas Hedley Jr.,David Zelag Goodman,,Tom Skerritt,Patti LuPone,Michael Sarrazin,Action,Crime,Drama,6.1,6,3,1,1,2,6.077,5.867,6.1,6.1,5.0,5.7,3.0,0.0,0.0
1320,Firefox,136.0,1982,1982,Clint Eastwood,1,Alex Lasker,Wendell Wellman,Craig Thomas,Clint Eastwood,Freddie Jones,David Huffman,Action,Adventure,Thriller,6.0,34,2,34,2,1,6.077,6.956,6.788,6.2,6.0,6.3,11.0,0.0,0.0
1321,First Blood,93.0,1982,1982,Ted Kotcheff,1,David Morrell,Michael Kozoll,William Sackheim,Sylvester Stallone,Brian Dennehy,Richard Crenna,Action,Adventure,Thriller,7.7,10,3,31,6,2,6.077,6.58,6.2,6.667,7.2,6.667,2.0,0.0,0.0
1322,Five Days One Summer,96.0,1982,1982,Fred Zinnemann,1,Michael Austin,Kay Boyle,,Sean Connery,Betsy Brantley,Lambert Wilson,Drama,,,6.2,1,2,22,1,1,6.459,6.2,6.418,6.2,6.2,6.1,0.0,1.0,0.0
1323,Forbidden World,77.0,1982,1982,Allan Holzman,1,Tim Curnen,Jim Wynorski,R.J. Robertson,Jesse Vint,Dawn Dunlap,June Chadwick,Horror,Sci-Fi,,5.2,1,2,2,1,1,5.441,5.2,5.45,5.2,5.2,5.2,0.0,0.0,0.0
1324,Friday the 13th Part III,95.0,1982,1982,Steve Miner,1,Martin Kitrosser,Carol Watson,Victor Miller,Dana Kimmell,Tracie Savage,Richard Brooker,Horror,Thriller,,5.7,9,3,1,1,1,5.441,5.833,5.7,5.7,5.7,4.733,0.0,0.0,0.0
1325,Gandhi,191.0,1982,1982,Richard Attenborough,1,John Briley,,,Ben Kingsley,John Gielgud,Rohini Hattangadi,Biography,Drama,,8.0,5,2,4,1,1,6.939,7.0,7.0,8.0,8.0,7.7,0.0,0.0,0.0
1326,Grease 2,115.0,1982,1982,Patricia Birch,0,Ken Finkleman,Jim Jacobs,Warren Casey,Michelle Pfeiffer,Maxwell Caulfield,Lorna Luft,Comedy,Drama,Musical,4.4,1,3,9,1,1,6.016,4.4,6.222,4.4,4.4,5.367,0.0,0.0,1.0
1327,Halloween III: Season of the Witch,98.0,1982,1982,Tommy Lee Wallace,1,Tommy Lee Wallace,John Carpenter,Nigel Kneale,Tom Atkins,Stacey Nelkin,Dan O'Herlihy,Horror,Mystery,Sci-Fi,5.0,1,2,2,1,2,5.441,5.0,5.55,5.0,6.3,5.25,0.0,0.0,0.0
1328,Hammett,97.0,1982,1982,Wim Wenders,1,Joe Gores,Ross Thomas,Dennis O'Flaherty,Frederic Forrest,Peter Boyle,Marilu Henner,Crime,Drama,Mystery,6.5,5,1,1,7,3,6.499,6.5,6.5,6.386,6.5,6.5,0.0,0.0,0.0
1329,Hanky Panky,110.0,1982,1982,Sidney Poitier,1,Henry Rosenbaum,David Taylor,,Gene Wilder,Gilda Radner,Kathleen Quinlan,Action,Comedy,Crime,5.6,8,1,12,2,6,6.077,6.188,6.375,5.65,6.167,5.6,3.0,0.0,0.0
1330,Harry Tracy,107.0,1982,1982,William A. Graham,1,R. Lance Hill,,,Bruce Dern,Helen Shaver,Michael C. Gwynne,Drama,Western,,6.2,4,4,7,2,1,6.459,6.05,6.171,6.15,6.2,6.25,0.0,2.0,0.0
1331,Heidi's Song,94.0,1982,1982,Robert Taylor,1,Joseph Barbera,Jameson Brewer,Robert Taylor,Lorne Greene,Sammy Davis Jr.,Margery Gray,Animation,Family,Musical,6.3,1,1,1,1,1,6.623,6.3,6.3,6.3,6.3,6.3,0.0,0.0,0.0
1332,Hey Good Lookin',76.0,1982,1982,Ralph Bakshi,1,Ralph Bakshi,,,Richard Romanus,David Proval,Jesse Welles,Animation,Comedy,Drama,6.2,5,4,1,1,1,6.623,6.12,6.2,6.2,6.2,6.425,0.0,0.0,0.0
1333,Honkytonk Man,122.0,1982,1982,Clint Eastwood,1,Clancy Carlile,,,Clint Eastwood,Kyle Eastwood,John McIntire,Comedy,Drama,Music,6.6,34,1,34,1,1,6.016,6.956,6.788,6.6,6.6,6.6,0.0,0.0,1.0
1334,I Ought to Be in Pictures,108.0,1982,1982,Herbert Ross,1,Neil Simon,,,Walter Matthau,Ann-Margret,Dinah Manoff,Comedy,Drama,,6.2,21,18,19,8,1,6.016,6.505,6.537,6.112,6.2,6.461,0.0,0.0,14.0
1335,"I, the Jury",111.0,1982,1982,Richard T. Heffron,1,Mickey Spillane,Larry Cohen,,Armand Assante,Barbara Carrera,Laurene Landon,Crime,Drama,Mystery,5.9,5,1,3,3,2,6.499,5.94,6.033,5.133,6.0,5.9,0.0,0.0,0.0
1336,I'm Dancing as Fast as I Can,107.0,1982,1982,Jack Hofsiss,1,Barbara Gordon,David Rabe,,Jill Clayburgh,Nicol Williamson,Dianne Wiest,Biography,Drama,,6.3,1,1,5,2,8,6.939,6.3,6.46,6.5,6.288,6.3,0.0,0.0,0.0
1337,It Came from Hollywood,80.0,1982,1982,Malcolm Leo,1,Dana Olsen,,,Dan Aykroyd,John Candy,Cheech Marin,Documentary,Comedy,,5.9,1,3,10,6,3,7.093,5.9,5.58,6.55,6.367,6.0,0.0,0.0,0.0
1338,Jekyll and Hyde... Together Again,87.0,1982,1982,Jerry Belson,1,Monica Mcgowan Johnson,Harvey Miller,Jerry Belson,Mark Blankfield,Bess Armstrong,Krista Errickson,Comedy,Music,Sci-Fi,6.2,2,2,1,3,1,6.016,5.8,6.2,5.333,6.2,6.65,0.0,0.0,2.0
1339,Jinxed!,103.0,1982,1982,Don Siegel,1,Frank D. Gilroy,David Newman,Jerry Blatt,Bette Midler,Ken Wahl,Rip Torn,Comedy,,,4.7,7,3,11,1,7,6.016,6.814,6.073,4.7,6.1,5.7,0.0,0.0,1.0
1340,Kill Squad,85.0,1982,1982,Patrick G. Donahue,1,Patrick G. Donahue,,,Jean Glaudé,Jeff Risk,Jerry Johnson,Action,Drama,,4.9,1,1,1,1,1,6.077,4.9,4.9,4.9,4.9,4.9,1.0,0.0,0.0
1341,Kiss Me Goodbye,101.0,1982,1982,Robert Mulligan,1,Bruno Barreto,Jorge Amado,Charlie Peters,Sally Field,James Caan,Jeff Bridges,Comedy,Fantasy,Romance,6.0,8,1,8,7,5,6.016,6.663,6.5,6.471,6.58,6.0,0.0,0.0,2.0
1342,Koyaanisqatsi,86.0,1982,1982,Godfrey Reggio,1,Ron Fricke,Godfrey Reggio,Michael Hoenig,Ed Asner,Pat Benatar,Jerry Brown,Documentary,Music,,8.3,1,1,3,1,1,7.093,8.3,7.7,8.3,8.3,8.3,0.0,0.0,0.0
1343,The Last American Virgin,92.0,1982,1982,Boaz Davidson,1,Boaz Davidson,,,Lawrence Monoson,Diane Franklin,Steve Antin,Comedy,Drama,Romance,6.3,1,1,1,1,2,6.016,6.3,6.3,6.3,6.35,6.3,0.0,0.0,1.0
1344,The Last Horror Film,87.0,1982,1982,David Winters,1,Judd Hamilton,David Winters,Tom Klassen,J'Len Winters,John Kelly,Joe Spinell,Comedy,Horror,,5.6,1,1,1,1,1,6.016,5.6,5.6,5.6,5.6,5.6,0.0,0.0,1.0
1345,The Last Unicorn,92.0,1982,1982,Jules Bass,1,Peter S. Beagle,,,Jeff Bridges,Mia Farrow,Angela Lansbury,Animation,Adventure,Drama,7.4,1,1,23,9,2,6.623,7.4,6.713,6.967,6.7,7.4,0.0,0.0,0.0
1346,Liquid Sky,112.0,1982,1982,Slava Tsukerman,1,Slava Tsukerman,Anne Carlisle,Nina V. Kerova,Anne Carlisle,Paula E. Sheppard,Susan Doukas,Sci-Fi,Thriller,,6.1,1,1,1,1,1,5.162,6.1,6.1,6.1,6.1,6.1,0.0,0.0,0.0
1347,Lookin' to Get Out,105.0,1982,1982,Hal Ashby,1,Al Schwartz,Jon Voight,,Jon Voight,Ann-Margret,Burt Young,Comedy,,,5.1,9,1,8,8,8,6.016,6.644,5.662,6.112,6.262,5.1,0.0,0.0,6.0
1348,Making Love,113.0,1982,1982,Arthur Hiller,1,Barry Sandler,A. Scott Berg,,Michael Ontkean,Kate Jackson,Harry Hamlin,Drama,,,6.9,18,3,2,2,1,6.459,6.133,6.45,6.1,6.9,6.167,0.0,4.0,0.0
1349,Megaforce,99.0,1982,1982,Hal Needham,1,Bob Kachler,James Whittaker,Albert S. Ruddy,Barry Bostwick,Michael Beck,Persis Khambatta,Action,Sci-Fi,,3.7,8,1,1,1,1,6.077,5.575,3.7,3.7,3.7,3.7,6.0,0.0,0.0
1350,A Midsummer Night's Sex Comedy,88.0,1982,1982,Woody Allen,1,Woody Allen,,,Woody Allen,Mia Farrow,José Ferrer,Comedy,,,6.6,39,38,23,9,2,6.016,7.054,6.917,6.967,6.2,7.092,0.0,0.0,35.0
1351,Missing,122.0,1982,1982,Costa-Gavras,1,Costa-Gavras,Donald E. Stewart,Thomas Hauser,Jack Lemmon,Sissy Spacek,Melanie Mayron,Biography,Drama,History,7.7,3,1,14,4,1,6.939,7.133,6.543,7.725,7.7,7.7,0.0,0.0,0.0
1352,Monsignor,121.0,1982,1982,Frank Perry,1,Jack-Alain Léger,Abraham Polonsky,Wendell Mayes,Christopher Reeve,Geneviève Bujold,Fernando Rey,Crime,Drama,War,5.1,6,1,8,6,3,6.499,6.233,5.838,6.067,5.967,5.1,0.0,0.0,0.0
1353,Mother Lode,101.0,1982,1982,Charlton Heston,1,Fraser C. Heston,,,Charlton Heston,Kim Basinger,Nick Mancuso,Adventure,Mystery,Thriller,6.0,1,2,11,10,1,6.206,6.0,6.191,5.92,6.0,6.2,0.0,0.0,0.0
1354,My Favorite Year,92.0,1982,1982,Richard Benjamin,1,Norman Steinberg,Dennis Palumbo,,Peter O'Toole,Mark Linn-Baker,Jessica Harper,Comedy,Drama,,7.4,11,2,8,1,3,6.016,6.009,6.238,7.4,7.367,6.95,0.0,0.0,9.0
1355,Night Crossing,107.0,1982,1982,Delbert Mann,1,John McGreevey,,,John Hurt,Jane Alexander,Doug McKeon,Drama,Family,History,6.5,1,1,3,3,1,6.459,6.5,6.3,6.433,6.5,6.5,0.0,1.0,0.0
1356,An Officer and a Gentleman,124.0,1982,1982,Taylor Hackford,1,Douglas Day Stewart,,,Richard Gere,Debra Winger,David Keith,Drama,Romance,,7.0,10,3,22,9,1,6.459,6.57,6.3,6.489,7.0,6.033,0.0,4.0,0.0
1357,Pandemonium,82.0,1982,1982,Alfred Sole,1,Jaime Barton Klein,Richard Whitley,,Tom Smothers,Carol Kane,Tammy Alverson,Comedy,Horror,Mystery,5.3,2,1,2,4,1,6.016,5.9,5.4,6.3,5.3,5.3,0.0,0.0,1.0
1358,Personal Best,128.0,1982,1982,Robert Towne,1,Robert Towne,,,Mariel Hemingway,Scott Glenn,Patrice Donnelly,Drama,Sport,,6.3,3,8,3,5,1,6.459,6.533,6.3,6.32,6.3,6.75,0.0,1.0,0.0
1359,Poltergeist,114.0,1982,1982,Tobe Hooper,1,Steven Spielberg,Michael Grais,Mark Victor,JoBeth Williams,Heather O'Rourke,Craig T. Nelson,Horror,Thriller,,7.3,7,2,2,1,4,5.441,5.9,6.5,7.3,6.325,7.45,0.0,0.0,0.0
1360,Richard Pryor: Live on the Sunset Strip,82.0,1982,1982,Joe Layton,1,Paul Mooney,Richard Pryor,,Richard Pryor,Gene Cross,Julie Hampton,Comedy,,,7.7,1,2,14,1,1,6.016,7.7,6.464,7.7,7.7,7.9,0.0,0.0,1.0
1361,Rocky III,99.0,1982,1982,Sylvester Stallone,1,Sylvester Stallone,,,Sylvester Stallone,Talia Shire,Burt Young,Drama,Sport,,6.8,7,9,31,5,8,6.459,6.443,6.2,6.88,6.262,6.656,0.0,5.0,0.0
1362,Safari 3000,92.0,1982,1982,Harry Hurwitz,1,Michael Harreschou,Jules V. Levy,Arthur Gardner,David Carradine,Stockard Channing,Christopher Lee,Action,Adventure,Comedy,4.7,2,1,8,4,4,6.077,4.55,5.55,5.825,5.675,4.7,1.0,0.0,0.0
1363,Savannah Smiles,105.0,1982,1982,Pierre De Moro,1,Mark Miller,,,Mark Miller,Donovan Scott,Bridgette Andersen,Comedy,Family,,7.1,1,2,1,1,1,6.016,7.1,7.1,7.1,7.1,6.1,0.0,0.0,1.0
1364,The Secret of NIMH,82.0,1982,1982,Don Bluth,1,Robert C. O'Brien,Don Bluth,John Pomeroy,Elizabeth Hartman,Derek Jacobi,Dom DeLuise,Animation,Adventure,Drama,7.6,8,1,1,1,6,6.623,6.65,7.6,7.6,6.233,7.6,0.0,0.0,0.0
1365,The Seduction,104.0,1982,1982,David Schmoeller,1,David Schmoeller,,,Morgan Fairchild,Michael Sarrazin,Vince Edwards,Thriller,,,4.9,2,2,1,5,1,5.189,5.55,4.9,5.94,4.9,5.55,0.0,0.0,0.0
1366,The Sender,91.0,1982,1982,Roger Christian,1,Thomas Baum,,,Kathryn Harrold,Zeljko Ivanek,Shirley Knight,Drama,Horror,Sci-Fi,6.0,2,1,1,2,1,6.459,4.25,6.0,6.35,6.0,6.0,0.0,1.0,0.0
1367,Shoot the Moon,124.0,1982,1982,Alan Parker,1,Bo Goldman,,,Albert Finney,Diane Keaton,Karen Allen,Drama,,,6.9,10,2,5,13,3,6.459,7.0,6.8,6.485,6.833,6.85,0.0,4.0,0.0
1368,Silent Rage,100.0,1982,1982,Michael Miller,1,Joseph Fraley,Edward Di Lorenzo,,Chuck Norris,Ron Silver,Steven Keats,Action,Crime,Horror,5.5,2,1,14,4,1,6.077,5.8,5.286,5.8,5.5,5.5,2.0,0.0,0.0
1369,Six Pack,108.0,1982,1982,Daniel Petrie,1,Mike Marvin,Alex Matter,,Kenny Rogers,Diane Lane,Erin Gray,Comedy,Drama,Sport,6.0,8,2,1,9,1,6.016,5.9,6.0,6.389,6.0,6.0,0.0,0.0,1.0
1370,Six Weeks,107.0,1982,1982,Tony Bill,1,Fred Mustard Stewart,David Seltzer,,Dudley Moore,Mary Tyler Moore,Katherine Healy,Drama,,,5.7,6,1,11,2,1,6.459,6.4,5.445,6.7,5.7,5.7,0.0,2.0,0.0
1371,The Slayer,90.0,1982,1982,J.S. Cardone,1,J.S. Cardone,Bill Ewing,,Sarah Kendall,Frederick Flynn,Carol Kottenbrook,Horror,Mystery,Thriller,5.3,3,5,1,1,1,5.441,5.6,5.3,5.3,5.3,5.54,0.0,0.0,0.0
1372,Slumber Party Massacre,77.0,1982,1982,Amy Holden Jones,1,Rita Mae Brown,Amy Holden Jones,,Michelle Michaels,Robin Stille,Michael Villella,Horror,,,5.7,3,1,1,1,1,5.441,5.467,5.7,5.7,5.7,5.7,0.0,0.0,0.0
1373,Some Kind of Hero,97.0,1982,1982,Michael Pressman,1,Robert Boris,James Kirkwood Jr.,,Richard Pryor,Margot Kidder,Ray Sharkey,Comedy,Crime,Drama,5.8,7,4,14,3,3,6.016,5.843,6.464,6.367,5.767,6.025,0.0,0.0,4.0
1374,Sophie's Choice,150.0,1982,1982,Alan J. Pakula,1,William Styron,Alan J. Pakula,,Meryl Streep,Kevin Kline,Peter MacNicol,Drama,Romance,,7.6,12,2,27,10,2,6.459,6.725,6.63,6.43,6.75,7.0,0.0,6.0,0.0
1375,Soup for One,87.0,1982,1982,Jonathan Kaufer,1,Jonathan Kaufer,,,Saul Rubinek,Marcia Strassman,Gerrit Graham,Comedy,,,5.6,1,1,1,2,5,6.016,5.6,5.6,5.25,6.06,5.6,0.0,0.0,1.0
1376,Star Trek II: The Wrath of Khan,113.0,1982,1982,Nicholas Meyer,1,Gene Roddenberry,Harve Bennett,Jack B. Sowards,William Shatner,Leonard Nimoy,DeForest Kelley,Action,Adventure,Sci-Fi,7.7,6,11,8,6,6,6.077,6.55,6.5,6.8,6.8,6.727,3.0,0.0,0.0
1377,Still of the Night,93.0,1982,1982,Robert Benton,1,Robert Benton,David Newman,,Roy Scheider,Meryl Streep,Jessica Tandy,Crime,Drama,Mystery,6.1,7,3,12,15,5,6.499,6.686,6.55,6.973,6.28,6.367,0.0,0.0,0.0
1378,Summer Lovers,98.0,1982,1982,Randal Kleiser,1,Randal Kleiser,,,Peter Gallagher,Daryl Hannah,Valérie Quennessen,Comedy,Drama,Romance,5.8,10,2,4,7,1,6.016,6.21,6.0,6.0,5.8,6.5,0.0,0.0,2.0
1379,The Sword and the Sorcerer,100.0,1982,1982,Albert Pyun,1,Tom Karnowski,John V. Stuckmeyer,Albert Pyun,Lee Horsley,Kathleen Beller,Simon MacCorkindale,Action,Adventure,Fantasy,5.6,8,1,1,1,2,6.077,4.837,5.6,5.6,4.65,5.6,7.0,0.0,0.0
1380,Tempest,136.0,1982,1982,Paul Mazursky,1,Paul Mazursky,Leon Capetanos,William Shakespeare,John Cassavetes,Gena Rowlands,Susan Sarandon,Comedy,Drama,Fantasy,6.5,13,8,1,3,14,6.016,6.338,6.5,6.6,6.3,6.538,0.0,0.0,12.0
1381,Tex,103.0,1982,1982,Tim Hunter,1,S.E. Hinton,Charles S. Haas,Tim Hunter,Matt Dillon,Jim Metzler,Meg Tilly,Drama,,,6.5,3,3,11,1,6,6.459,6.867,6.427,6.5,6.417,6.633,0.0,2.0,0.0
1382,That Championship Season,110.0,1982,1982,Jason Miller,1,Jason Miller,,,Bruce Dern,Stacy Keach,Robert Mitchum,Drama,,,6.4,1,1,7,3,1,6.459,6.4,6.171,6.8,6.4,6.4,0.0,1.0,0.0
1383,They Call Me Bruce?,87.0,1982,1982,Elliott Hong,1,David Randolph,Johnny Yune,Elliott Hong,Johnny Yune,Margaux Hemingway,Raf Mauro,Action,Comedy,,5.7,1,1,2,2,1,6.077,5.7,5.25,5.7,5.7,5.7,1.0,0.0,0.0
1384,The Thing,109.0,1982,1982,John Carpenter,1,Bill Lancaster,John W. Campbell Jr.,,Kurt Russell,Wilford Brimley,Keith David,Horror,Mystery,Sci-Fi,8.1,15,4,23,3,1,5.441,6.647,6.596,6.733,8.1,6.25,0.0,0.0,0.0
1385,Things Are Tough All Over,90.0,1982,1982,Thomas K. Avildsen,1,Cheech Marin,Tommy Chong,,Toni Attell,Mike Bacarella,Billy Beck,Action,Comedy,,6.0,1,2,1,1,1,6.077,6.0,6.0,6.0,6.0,6.0,1.0,0.0,0.0
1386,Timerider: The Adventure of Lyle Swann,94.0,1982,1982,William Dear,1,William Dear,Michael Nesmith,,Fred Ward,Belinda Bauer,Peter Coyote,Action,Adventure,Sci-Fi,5.4,5,2,5,1,5,6.077,5.96,6.06,5.4,6.8,5.7,3.0,0.0,0.0
1387,Time Walker,83.0,1982,1982,Tom Kennedy,1,Jason Williams,Tom Friedman,Karen Levitt,Ben Murphy,Nina Axelrod,Kevin Brophy,Horror,Sci-Fi,,3.6,1,1,1,1,1,5.441,3.6,3.6,3.6,3.6,3.6,0.0,0.0,0.0
1388,Tootsie,116.0,1982,1982,Sydney Pollack,1,Don McGuire,Larry Gelbart,Murray Schisgal,Dustin Hoffman,Jessica Lange,Teri Garr,Comedy,Drama,Romance,7.4,11,1,15,6,6,6.016,6.673,7.053,6.967,6.733,7.4,0.0,0.0,2.0
1389,The Toy,102.0,1982,1982,Richard Donner,1,Francis Veber,Carol Sobieski,,Richard Pryor,Jackie Gleason,Ned Beatty,Comedy,,,5.8,16,5,14,3,7,6.016,6.95,6.464,5.667,6.229,5.76,0.0,0.0,3.0
1390,The Verdict,129.0,1982,1982,Sidney Lumet,1,Barry Reed,David Mamet,Jay Presson Allen,Paul Newman,Charlotte Rampling,Jack Warden,Drama,,,7.7,17,1,19,5,6,6.459,6.671,6.579,6.68,6.333,7.7,0.0,5.0,0.0
1391,Vice Squad,97.0,1982,1982,Gary Sherman,1,Sandy Howard,Kenneth Peters,Robert Vincent O'Neil,Season Hubley,Gary Swanson,Wings Hauser,Action,Crime,Drama,6.4,2,1,1,1,1,6.077,5.55,6.4,6.4,6.4,6.4,1.0,0.0,0.0
1392,Victor Victoria,134.0,1982,1982,Blake Edwards,1,Blake Edwards,Hans Hoemburg,Reinhold Schünzel,Julie Andrews,James Garner,Robert Preston,Comedy,Music,Romance,7.6,16,10,5,5,1,6.016,6.012,6.66,6.92,7.6,6.01,0.0,0.0,11.0
1393,Visiting Hours,105.0,1982,1982,Jean-Claude Lord,1,Brian Taggert,,,Michael Ironside,Lee Grant,Linda Purl,Horror,Thriller,,5.7,2,1,1,3,1,5.441,6.0,5.7,5.9,5.7,5.7,0.0,0.0,0.0
1394,White Dog,90.0,1982,1982,Samuel Fuller,1,Romain Gary,Samuel Fuller,Curtis Hanson,Kristy McNichol,Christa Lang,Vernon Weddle,Drama,Horror,,7.1,2,1,1,1,1,6.459,7.1,7.1,7.1,7.1,7.1,0.0,2.0,0.0
1395,The World According to Garp,136.0,1982,1982,George Roy Hill,1,John Irving,Steve Tesich,,Robin Williams,Mary Beth Hurt,Glenn Close,Comedy,Drama,,7.2,7,4,27,2,5,6.016,7.157,6.37,6.65,6.6,6.825,0.0,0.0,5.0
1396,Wrong Is Right,117.0,1982,1982,Richard Brooks,1,Charles McCarry,Richard Brooks,,Sean Connery,George Grizzard,Robert Conrad,Comedy,Drama,Thriller,5.7,2,1,22,1,1,6.016,6.2,6.418,5.7,5.7,5.7,0.0,0.0,1.0
1397,"Yes, Giorgio",110.0,1982,1982,Franklin J. Schaffner,1,Anne Piper,Norman Steinberg,,Luciano Pavarotti,Kathryn Harrold,Eddie Albert,Comedy,Musical,,3.9,4,1,1,2,2,6.016,6.325,3.9,4.75,4.7,3.9,0.0,0.0,1.0
1398,Young Doctors in Love,96.0,1982,1982,Garry Marshall,1,Michael Elias,Rich Eustis,,Michael McKean,Sean Young,Gary Friedkin,Comedy,,,5.5,18,2,1,5,1,6.016,6.028,5.5,5.6,5.5,5.95,0.0,0.0,18.0
1399,Zapped!,98.0,1982,1982,Robert J. Rosenthal,1,Bruce Rubin,Robert J. Rosenthal,,Scott Baio,Willie Aames,Robert Mandan,Comedy,Fantasy,Sci-Fi,5.0,1,1,3,1,1,6.016,5.0,4.9,5.0,5.0,5.0,0.0,0.0,1.0
1400,10 to Midnight,101.0,1983,1983,J. Lee Thompson,1,William Roberts,J. Lee Thompson,,Charles Bronson,Lisa Eilbacher,Andrew Stevens,Crime,Drama,Thriller,6.3,15,2,18,1,1,6.499,5.733,6.039,6.3,6.3,6.05,0.0,0.0,0.0
1401,All the Right Moves,91.0,1983,1983,Michael Chapman,1,Michael Kane,Pat Jordan,,Tom Cruise,Lea Thompson,Craig T. Nelson,Drama,Romance,Sport,6.0,2,3,28,3,4,6.459,5.7,6.982,4.933,6.325,6.167,0.0,1.0,0.0
1402,Amityville 3-D,105.0,1983,1983,Richard Fleischer,1,David Ambrose,,,Tony Roberts,Tess Harper,Robert Joy,Horror,,,4.2,15,2,1,3,1,5.441,6.12,4.2,6.333,4.2,5.25,0.0,0.0,0.0
1403,Angelo My Love,115.0,1983,1983,Robert Duvall,1,Robert Duvall,,,Angelo Evans,Michael Evans,Ruthie Evans,Drama,,,6.6,2,2,1,1,1,6.459,6.9,6.6,6.6,6.6,6.9,0.0,2.0,0.0
1404,Baby It's You,105.0,1983,1983,John Sayles,1,Amy Robinson,John Sayles,,Rosanna Arquette,Vincent Spano,Joanna Merlin,Comedy,Drama,Romance,6.3,12,1,4,3,1,6.016,7.117,6.2,6.467,6.3,6.3,0.0,0.0,2.0
1405,The Big Chill,105.0,1983,1983,Lawrence Kasdan,1,Lawrence Kasdan,Barbara Benedek,,Tom Berenger,Glenn Close,Jeff Goldblum,Comedy,Drama,,7.2,10,7,14,7,7,6.016,6.51,6.379,6.557,6.929,7.414,0.0,0.0,5.0
1406,The Black Stallion Returns,103.0,1983,1983,Robert Dalva,1,Walter Farley,Richard Kletter,Jerome Kass,Kelly Reno,Vincent Spano,Allen Garfield,Adventure,Family,,6.0,1,1,2,3,6,6.206,6.0,6.7,6.467,6.15,6.0,0.0,0.0,0.0
1407,Blue Thunder,109.0,1983,1983,John Badham,1,Dan O'Bannon,Don Jakoby,Dean Riesner,Roy Scheider,Warren Oates,Candy Clark,Action,Crime,Drama,6.4,12,6,12,6,1,6.077,6.383,6.55,6.6,6.4,6.567,7.0,0.0,0.0
1408,Born in Flames,79.0,1983,1983,Lizzie Borden,0,Ed Bowes,Lizzie Borden,,Honey,Adele Bertei,Jean Satterfield,Comedy,Drama,Sci-Fi,6.5,3,1,1,1,1,6.016,5.8,6.5,6.5,6.5,6.5,0.0,0.0,1.0
1409,Brainstorm,106.0,1983,1983,Douglas Trumbull,1,Bruce Joel Rubin,Robert Stitzel,Philip Frank Messina,Christopher Walken,Natalie Wood,Louise Fletcher,Sci-Fi,Thriller,,6.4,2,7,11,3,4,5.162,6.55,6.245,5.8,5.2,6.757,0.0,0.0,0.0
1410,Can She Bake a Cherry Pie?,90.0,1983,1983,Henry Jaglom,1,Henry Jaglom,,,Michael Emil,Karen Black,Michael Margotta,Comedy,Romance,,5.6,3,2,1,8,2,6.016,5.8,5.6,5.975,5.7,5.75,0.0,0.0,3.0
1411,Christine,110.0,1983,1983,John Carpenter,1,Stephen King,Bill Phillips,,Keith Gordon,John Stockwell,Alexandra Paul,Horror,Thriller,,6.7,15,26,1,1,2,5.441,6.647,6.7,6.7,6.25,6.531,0.0,0.0,0.0
1412,A Christmas Story,93.0,1983,1983,Bob Clark,1,Jean Shepherd,Leigh Brown,Bob Clark,Peter Billingsley,Melinda Dillon,Darren McGavin,Comedy,Family,,7.9,10,2,2,2,1,6.016,5.16,5.85,6.95,7.9,6.75,0.0,0.0,9.0
1413,Class,98.0,1983,1983,Lewis John Carlino,1,Jim Kouf,David Greenwalt,,Jacqueline Bisset,Rob Lowe,Andrew McCarthy,Comedy,Drama,Romance,6.0,2,11,4,2,2,6.016,6.6,5.55,6.2,6.2,6.291,0.0,0.0,1.0
1414,Copkiller,117.0,1983,1983,Roberto Faenza,1,Ennio De Concini,Hugh Fleetwood,Roberto Faenza,Harvey Keitel,John Lydon,Nicole Garcia,Crime,Thriller,,5.5,1,2,14,1,1,6.499,5.5,6.643,5.5,5.5,5.55,0.0,0.0,0.0
