,name,Length Of Movie (minute),year,idbm_year,director_1,gender_director,writer_1,writer_2,writer_3,star_1,star_2,star_3,genre_1,genre_2,genre_3,rating,director movie amount,writer1 movie amount,star1 movie amount,star2 movie amount,star3 movie amount,average rating genre,director rating avg,star1 rating avg,star2 rating avg,star3 rating avg,writer1 rating avg,Action,Drama,Comedy
22,Colossus: The Forbin Project,100.0,1970,1970,Joseph Sargent,1,James Bridges,D.F. Jones,,Eric Braeden,Susan Clark,Gordon Pinsent,Sci-Fi,Thriller,,7.1,7,4,1,4,1,5.162,5.814,7.1,6.225,7.1,6.3,0.0,0.0,0.0
23,Cotton Comes to Harlem,97.0,1970,1970,Ossie Davis,1,Chester Himes,Arnold Perl,Ossie Davis,Godfrey Cambridge,Raymond St. Jacques,Calvin Lockhart,Action,Comedy,Crime,6.5,2,3,4,2,2,6.077,6.5,6.5,6.5,6.7,6.3,1.0,0.0,0.0
24,"Count Yorga, Vampire",93.0,1970,1970,Bob Kelljan,1,Bob Kelljan,,,Robert Quarry,Roger Perry,Michael Murphy,Drama,Fantasy,Horror,5.8,5,2,2,1,3,6.459,5.68,5.75,5.8,6.8,5.75,0.0,1.0,0.0
25,Darker than Amber,96.0,1970,1970,Robert Clouse,1,John D. MacDonald,Ed Waters,,Rod Taylor,Theodore Bikel,Suzy Kendall,Action,Drama,Mystery,6.2,8,2,2,1,1,6.077,5.812,5.25,6.2,6.2,6.75,8.0,0.0,0.0
26,Darling Lili,136.0,1970,1970,Blake Edwards,1,Blake Edwards,William Peter Blatty,,Julie Andrews,Rock Hudson,Jeremy Kemp,Comedy,Drama,Musical,6.1,16,10,5,1,1,6.016,6.012,6.66,6.1,6.1,6.01,0.0,0.0,11.0
27,The Delta Factor,91.0,1970,1970,Tay Garnett,1,Tay Garnett,Mickey Spillane,Raoul Walsh,Yvette Mimieux,Christopher George,Diane McBain,Adventure,Crime,Drama,4.0,1,1,2,3,1,6.206,4.0,5.05,4.833,4.0,4.0,0.0,0.0,0.0
28,Diary of a Mad Housewife,95.0,1970,1970,Frank Perry,1,Eleanor Perry,Sue Kaufman,,Richard Benjamin,Frank Langella,Carrie Snodgress,Comedy,Drama,,7.0,6,1,6,7,3,6.016,6.233,6.133,6.214,6.6,7.0,0.0,0.0,3.0
29,Dirty Dingus Magee,91.0,1970,1970,Burt Kennedy,1,David Markson,Tom Waldman,Frank Waldman,Frank Sinatra,George Kennedy,Anne Jackson,Comedy,Romance,Western,5.2,6,2,2,6,2,6.016,5.617,5.55,5.717,5.45,5.45,0.0,0.0,2.0
30,The Dunwich Horror,90.0,1970,1970,Daniel Haller,1,Curtis Hanson,Henry Rosenbaum,Ronald Silkosky,Sandra Dee,Dean Stockwell,Ed Begley,Horror,,,5.4,2,1,1,3,1,5.441,5.2,5.4,4.633,5.4,5.4,0.0,0.0,0.0
31,Five Easy Pieces,98.0,1970,1970,Bob Rafelson,1,Carole Eastman,Bob Rafelson,,Jack Nicholson,Karen Black,Billy Green Bush,Drama,,,7.4,6,3,22,8,2,6.459,6.05,6.877,5.975,6.75,5.933,0.0,3.0,0.0
32,Flesh Feast,72.0,1970,1970,Brad F. Grinter,1,Thomas Casey,Brad F. Grinter,,Veronica Lake,Phil Philbin,Doug Foster,Fantasy,Horror,Mystery,2.6,1,1,1,1,1,5.535,2.6,2.6,2.6,2.6,2.6,0.0,0.0,0.0
33,Fools,93.0,1970,1970,Tom Gries,1,Robert Rudelson,,,Jason Robards,Katharine Ross,Scott Hylands,Drama,,,5.2,4,1,7,2,1,6.459,5.725,6.057,5.75,5.2,5.2,0.0,1.0,0.0
34,Gas-s-s-s,78.0,1970,1970,Roger Corman,1,George Armitage,,,Bob Corff,Elaine Giftos,Bud Cort,Comedy,Drama,Sci-Fi,4.2,4,5,1,1,3,6.016,5.35,4.2,4.2,5.733,4.7,0.0,0.0,1.0
35,Getting Straight,124.0,1970,1970,Richard Rush,1,Robert Kaufman,Ken Kolb,,Elliott Gould,Candice Bergen,Robert F. Lyons,Comedy,Drama,Romance,6.3,4,6,12,7,2,6.016,6.3,5.8,6.043,6.25,5.583,0.0,0.0,1.0
36,The Grasshopper,98.0,1970,1970,Jerry Paris,1,Mark McShane,Jerry Belson,Garry Marshall,Jacqueline Bisset,Jim Brown,Joseph Cotten,Drama,Romance,,5.7,4,1,4,2,2,6.459,5.6,5.55,5.7,5.7,5.7,0.0,1.0,0.0
37,The Great White Hope,103.0,1970,1970,Martin Ritt,1,Howard Sackler,,,James Earl Jones,Jane Alexander,Lou Gilbert,Drama,Romance,Sport,6.9,12,2,3,3,1,6.459,6.9,5.667,6.433,6.9,6.95,0.0,9.0,0.0
38,Halls of Anger,96.0,1970,1970,Paul Bogart,1,John Herman Shaner,Al Ramrus,,Calvin Lockhart,Janet MacLachlan,Jeff Bridges,Drama,,,5.9,6,3,2,1,5,6.459,6.167,6.0,5.9,6.58,5.8,0.0,2.0,0.0
39,The Hawaiians,134.0,1970,1970,Tom Gries,1,James A. Michener,James R. Webb,,Charlton Heston,Tina Chen,Geraldine Chaplin,Adventure,Drama,,6.2,4,2,11,1,2,6.206,5.725,6.191,6.2,6.1,6.15,0.0,0.0,0.0
40,Hercules in New York,92.0,1970,1970,Arthur Allan Seidelman,1,Aubrey Wisberg,,,Arnold Stang,Arnold Schwarzenegger,Deborah Loomis,Adventure,Comedy,Fantasy,3.3,2,1,1,4,1,6.206,5.25,3.3,5.375,3.3,3.3,0.0,0.0,0.0
41,"Hi, Mom!",87.0,1970,1970,Brian De Palma,1,Brian De Palma,Charles Hirsch,,Robert De Niro,Allen Garfield,Lara Parker,Comedy,Drama,,6.2,17,5,41,3,1,6.016,6.712,6.8,6.067,6.2,6.7,0.0,0.0,5.0
42,The Honeymoon Killers,107.0,1970,1970,Leonard Kastle,1,Leonard Kastle,,,Shirley Stoler,Tony Lo Bianco,Mary Jane Higby,Crime,Drama,Romance,7.0,1,1,1,4,1,6.499,7.0,7.0,6.725,7.0,7.0,0.0,0.0,0.0
43,Hornets' Nest,110.0,1970,1970,Phil Karlson,1,S.S. Schweitzer,Stanley Colbert,,Rock Hudson,Sylva Koscina,Sergio Fantoni,Action,Drama,War,5.8,1,1,4,1,1,6.077,5.8,5.75,5.8,5.8,5.8,1.0,0.0,0.0
44,House of Dark Shadows,97.0,1970,1970,Dan Curtis,1,Sam Hall,Gordon Russell,,Jonathan Frid,Grayson Hall,Kathryn Leigh Scott,Drama,Fantasy,Horror,6.4,4,2,2,2,1,6.459,6.0,5.55,6.0,6.4,6.0,0.0,2.0,0.0
45,How Do I Love Thee?,110.0,1970,1970,Michael Gordon,1,Peter De Vries,Everett Freeman,Karl Tunberg,Jackie Gleason,Maureen O'Hara,Shelley Winters,Comedy,Drama,,5.3,1,3,3,2,3,6.016,5.3,4.567,5.85,6.4,6.233,0.0,0.0,1.0
46,Husbands,154.0,1970,1970,John Cassavetes,1,John Cassavetes,,,Ben Gazzara,Peter Falk,John Cassavetes,Comedy,Drama,,7.3,6,6,5,3,1,6.016,7.65,6.24,6.733,7.3,7.35,0.0,0.0,2.0
