,name,Length Of Movie (minute),year,idbm_year,gender_director,director_1,writer_1,writer_2,writer_3,star_1,star_2,star_3,genre_1,genre_2,genre_3,rating
2382,Lauderdale,91.0,1989,1989,1,Bill Milling,Bill Milling,,,Renee Shugart,Darrel Guilbeau,Jeff Greenman,Comedy,,,3.9
2383,Lean on Me,108.0,1989,1989,1,John G. Avildsen,Michael Schiffer,,,Morgan Freeman,Beverly Todd,Robert Guillaume,Drama,,,7.4
2384,Let It Ride,90.0,1989,1989,1,Joe Pytka,Jay Cronley,Nancy Dowd,,Richard Dreyfuss,Teri Garr,David Johansen,Comedy,Action,,6.8
2385,Lethal Weapon 2,114.0,1989,1989,1,Richard Donner,Jeffrey Boam,Shane Black,Warren Murphy,Mel Gibson,Danny Glover,Joe Pesci,Action,Crime,Thriller,7.2
2386,Leviathan,98.0,1989,1989,1,George P. Cosmatos,David Webb Peoples,Jeb Stuart,,Peter Weller,Richard Crenna,Amanda Pays,Adventure,Horror,Mystery,5.8
2387,Licence to Kill,133.0,1989,1989,1,John Glen,Michael G. Wilson,Richard Maibaum,Ian Fleming,Timothy Dalton,Robert Davi,Carey Lowell,Action,Adventure,Thriller,6.6
2388,Limit Up,88.0,1989,1989,1,Richard Martini,Richard Martini,Luana Anders,,Nancy Allen,Dean Stockwell,Brad Hall,Fantasy,Comedy,,5.0
2389,Listen to Me,107.0,1989,1989,1,Douglas Day Stewart,Douglas Day Stewart,,,Kirk Cameron,Jami Gertz,Roy Scheider,Drama,Romance,,5.3
2390,Little Monsters,100.0,1989,1989,1,Richard Greenberg,Terry Rossio,Ted Elliott,,Fred Savage,Howie Mandel,Daniel Stern,Adventure,Comedy,Family,6.1
2391,Lock Up,109.0,1989,1989,1,John Flynn,Richard Smith,Jeb Stuart,Henry Rosenbaum,Sylvester Stallone,Donald Sutherland,John Amos,Action,Crime,Drama,6.4
2392,Look Who's Talking,93.0,1989,1989,0,Amy Heckerling,Amy Heckerling,,,John Travolta,Kirstie Alley,Olympia Dukakis,Comedy,,,5.9
2393,Lords of the Deep,77.0,1989,1989,1,Mary Ann Fisher,Howard R. Cohen,Daryl Haney,,Bradford Dillman,Priscilla Barnes,Daryl Haney,Sci-Fi,Thriller,,2.6
2394,Major League,107.0,1989,1989,1,David S. Ward,David S. Ward,,,Tom Berenger,Charlie Sheen,Corbin Bernsen,Comedy,Sport,,7.2
2395,Meet the Hollowheads,86.0,1989,1989,1,Thomas R. Burman,Thomas R. Burman,Stanley Mieses,Lisa Morton,John Glover,Nancy Mette,Richard Portnow,Comedy,Horror,Sci-Fi,5.4
2396,The Mighty Quinn,98.0,1989,1989,1,Carl Schenkel,Albert Z. Carr,Hampton Fancher,,Denzel Washington,Robert Townsend,James Fox,Action,Crime,Drama,6.0
2397,Miss Firecracker,102.0,1989,1989,1,Thomas Schlamme,Beth Henley,,,Holly Hunter,Mary Steenburgen,Tim Robbins,Comedy,,,6.1
2398,Music Box,124.0,1989,1989,1,Costa-Gavras,Joe Eszterhas,,,Jessica Lange,Armin Mueller-Stahl,Frederic Forrest,Crime,Drama,Thriller,7.4
2399,My Mom's a Werewolf,90.0,1989,1989,1,Michael Fischa,Mark Pirro,,,Susan Blakely,John Saxon,Tina Caspary,Comedy,Horror,,4.5
2400,Mystery Train,110.0,1989,1989,1,Jim Jarmusch,Jim Jarmusch,,,Masatoshi Nagase,Yûki Kudô,Screamin' Jay Hawkins,Comedy,Crime,Drama,7.6
2401,National Lampoon's Christmas Vacation,97.0,1989,1989,1,Jeremiah S. Chechik,John Hughes,,,Chevy Chase,Beverly D'Angelo,Juliette Lewis,Comedy,,,7.6
2402,Never on Tuesday,90.0,1989,1989,1,Adam Rifkin,Adam Rifkin,,,Claudia Christian,Andy Lauer,Peter Berg,Comedy,Drama,,4.6
2403,New York Stories,124.0,1989,1989,1,Woody Allen,Richard Price,Woody Allen,Francis Ford Coppola,Woody Allen,Nick Nolte,Rosanna Arquette,Comedy,Drama,Romance,6.4
2404,Next of Kin,108.0,1989,1989,1,John Irvin,Michael Jenning,,,Patrick Swayze,Liam Neeson,Adam Baldwin,Action,Crime,Thriller,5.9
2405,Night Game,95.0,1989,1989,1,Peter Masterson,Spencer Eastman,Anthony Palmer,,Roy Scheider,Karen Young,Lane Smith,Crime,Drama,Thriller,5.0
2406,A Nightmare on Elm Street 5: The Dream Child,89.0,1989,1989,1,Stephen Hopkins,Wes Craven,John Skipp,Craig Spector,Robert Englund,Lisa Wilcox,Kelly Jo Minter,Fantasy,Horror,,5.1
2407,Nightwish,96.0,1989,1989,1,Bruce R. Cook,Bruce R. Cook,,,Brian Thompson,Jack Starrett,Elizabeth Kaitan,Horror,Sci-Fi,,4.9
2408,No Holds Barred,93.0,1989,1989,1,Thomas J. Wright,Dennis Hackin,,,Hulk Hogan,Joan Severance,Kurt Fuller,Action,Sport,,4.4
2409,Offerings,95.0,1989,1989,1,Christopher Reynolds,Christopher Reynolds,,,Loretta Leigh Bowman,Elizabeth Greene,G. Michael Smith,Horror,,,4.6
2410,Old Gringo,119.0,1989,1989,1,Luis Puenzo,Carlos Fuentes,Aída Bortnik,Luis Puenzo,Jane Fonda,Gregory Peck,Jimmy Smits,Adventure,History,Romance,5.8
2411,Parents,81.0,1989,1989,1,Bob Balaban,Christopher Hawthorne,,,Randy Quaid,Mary Beth Hurt,Sandy Dennis,Comedy,Horror,Mystery,6.1
2412,Penn & Teller Get Killed,89.0,1989,1989,1,Arthur Penn,Penn Jillette,Teller,,Penn Jillette,Teller,Caitlin Clarke,Adventure,Comedy,Crime,5.7
2413,Pet Sematary,103.0,1989,1989,0,Mary Lambert,Stephen King,,,Dale Midkiff,Denise Crosby,Fred Gwynne,Fantasy,Horror,Thriller,6.6
2414,The Phantom of the Opera: The Motion Picture,93.0,1989,1989,1,Dwight H. Little,Gaston Leroux,Gerry O'Hara,Duke Sandefur,Robert Englund,Jill Schoelen,Alex Hyde-White,Drama,Horror,Music,5.5
2415,Physical Evidence,99.0,1989,1989,1,Michael Crichton,Steve Ransohoff,Bill Phillips,,Burt Reynolds,Theresa Russell,Ned Beatty,Crime,Mystery,Romance,5.1
2416,Pink Cadillac,122.0,1989,1989,1,Buddy Van Horn,John Eskow,,,Clint Eastwood,Bernadette Peters,Timothy Carhart,Action,Comedy,Crime,5.4
