,name,year,idbm_year,director,writers,star,rating,genre
25,The Christine Jorgensen Story,1970,1970,Irving Rapper,"Christine Jorgensen,Robert E. Kent,Ellis St. Joseph","John Hansen,Joan Tompkins,Quinn K. Redeker",5.5,"Biography,Drama,Romance"
26,Cockeyed Cowboys of Calico County,1970,1970,"Anton Leader,Ranald MacDougall",Ranald MacDougall,"Dan Blocker,Nanette Fabray,Jim Backus",6.2,"Comedy,Western"
27,Colossus: The Forbin Project,1970,1970,Joseph Sargent,"James Bridges,D.F. Jones","Eric Braeden,Susan Clark,Gordon Pinsent",7.1,"Sci-Fi,Thriller"
28,Cotton Comes to Harlem,1970,1970,Ossie Davis,"Chester Himes,Arnold Perl,Ossie Davis","Godfrey Cambridge,Raymond St. Jacques,Calvin Lockhart",6.5,"Action,Comedy,Crime"
29,"Count Yorga, Vampire",1970,1970,Bob Kelljan,Bob Kelljan,"Robert Quarry,Roger Perry,Michael Murphy",5.8,"Drama,Fantasy,Horror"
30,Darker than Amber,1970,1970,Robert Clouse,"John D. MacDonald,Ed Waters","Rod Taylor,Theodore Bikel,Suzy Kendall",6.2,"Action,Drama,Mystery"
31,Darling Lili,1970,1970,Blake Edwards,"Blake Edwards,William Peter Blatty","Julie Andrews,Rock Hudson,Jeremy Kemp",6.1,"Comedy,Drama,Musical"
32,The Delta Factor,1970,1970,Tay Garnett,"Tay Garnett,Mickey Spillane,Raoul Walsh","Yvette Mimieux,Christopher George,Diane McBain",4.1,"Adventure,Crime,Drama"
33,Diary of a Mad Housewife,1970,1970,Frank Perry,"Eleanor Perry,Sue Kaufman","Richard Benjamin,Frank Langella,Carrie Snodgress",7.0,"Comedy,Drama"
34,Dirty Dingus Magee,1970,1970,Burt Kennedy,"David Markson,Tom Waldman,Frank Waldman","Frank Sinatra,George Kennedy,Anne Jackson",5.2,"Comedy,Romance,Western"
35,The Dunwich Horror,1970,1970,Daniel Haller,"Curtis Hanson,Henry Rosenbaum,Ronald Silkosky","Sandra Dee,Dean Stockwell,Ed Begley",5.4,Horror
36,El Condor,1970,,,,,6.8,"Action,Crime,Mystery"
37,Elvis: That's the Way It Is,1970,1970,,,,8.0,"Documentary,Music"
38,End of the Road,1970,2022,Millicent Shelton,"David Loughery,Christopher J. Moore","Queen Latifah,Beau Bridges,Ludacris",,"Drama,Mystery,Thriller"
39,Equinox,1970,,,,,6.1,"Drama,Fantasy,Mystery"
40,Five Easy Pieces,1970,1970,Bob Rafelson,"Carole Eastman,Bob Rafelson","Jack Nicholson,Karen Black,Billy Green Bush",7.4,Drama
41,Flesh Feast,1970,1970,Brad F. Grinter,"Thomas Casey,Brad F. Grinter","Veronica Lake,Phil Philbin,Doug Foster",2.7,"Fantasy,Horror,Mystery"
42,Fools,1970,1970,Tom Gries,Robert Rudelson,"Jason Robards,Katharine Ross,Scott Hylands",5.2,Drama
43,Gas-s-s-s,1970,1970,Roger Corman,George Armitage,"Bob Corff,Elaine Giftos,Bud Cort",4.2,"Comedy,Drama,Sci-Fi"
44,Getting Straight,1970,1970,Richard Rush,"Robert Kaufman,Ken Kolb","Elliott Gould,Candice Bergen,Robert F. Lyons",6.3,"Comedy,Drama,Romance"
45,Gimme Shelter,1970,2013,Ron Krauss,Ron Krauss,"Vanessa Hudgens,Rosario Dawson,Brendan Fraser",6.5,Drama
46,The Grasshopper,1970,1970,Jerry Paris,"Mark McShane,Jerry Belson,Garry Marshall","Jacqueline Bisset,Jim Brown,Joseph Cotten",5.7,"Drama,Romance"
47,The Great White Hope,1970,1970,Martin Ritt,Howard Sackler,"James Earl Jones,Jane Alexander,Lou Gilbert",6.9,"Drama,Romance,Sport"
48,Halls of Anger,1970,1970,Paul Bogart,"John Herman Shaner,Al Ramrus","Calvin Lockhart,Janet MacLachlan,Jeff Bridges",5.9,Drama
49,The Hawaiians,1970,1970,Tom Gries,"James A. Michener,James R. Webb","Charlton Heston,Tina Chen,Geraldine Chaplin",6.2,"Adventure,Drama"
50,Hercules in New York,1970,1970,Arthur Allan Seidelman,Aubrey Wisberg,"Arnold Stang,Arnold Schwarzenegger,Deborah Loomis",3.3,"Adventure,Comedy,Fantasy"
51,"Hi, Mom!",1970,1970,Brian De Palma,"Brian De Palma,Charles Hirsch","Robert De Niro,Allen Garfield,Lara Parker",6.2,"Comedy,Drama"
52,The Honeymoon Killers,1970,1970,"Leonard Kastle,Martin Scorsese,Donald Volkman",Leonard Kastle,"Shirley Stoler,Tony Lo Bianco,Mary Jane Higby",7.0,"Crime,Drama,Romance"
53,Hornets' Nest,1970,1970,"Phil Karlson,Franco Cirino","S.S. Schweitzer,Stanley Colbert","Rock Hudson,Sylva Koscina,Sergio Fantoni",5.8,"Action,Drama,War"
54,House of Dark Shadows,1970,1970,Dan Curtis,"Sam Hall,Gordon Russell","Jonathan Frid,Grayson Hall,Kathryn Leigh Scott",6.4,"Drama,Fantasy,Horror"
55,How Do I Love Thee?,1970,1970,Michael Gordon,"Peter De Vries,Everett Freeman,Karl Tunberg","Jackie Gleason,Maureen O'Hara,Shelley Winters",5.3,"Comedy,Drama"
56,Husbands,1970,1970,John Cassavetes,John Cassavetes,"Ben Gazzara,Peter Falk,John Cassavetes",7.3,"Comedy,Drama"
57,I Love My Wife,1970,1970,Mel Stuart,Robert Kaufman,"Elliott Gould,Brenda Vaccaro,Angel Tompkins",5.0,Comedy
58,I Never Sang for My Father,1970,1970,Gilbert Cates,Robert Anderson,"Melvyn Douglas,Gene Hackman,Dorothy Stickney",7.5,"Drama,Music"
59,I Walk the Line,1970,1970,John Frankenheimer,"Alvin Sargent,Madison Jones","Gregory Peck,Tuesday Weld,Estelle Parsons",6.6,Drama
60,The Invincible Six,1970,1970,Jean Negulesco,"Michael Barrett,Guy Elmes,Chester Erskine","Stuart Whitman,Elke Sommer,Curd Jürgens",5.6,"Action,Adventure"
61,Jenny,1970,,,,,,
62,Joe,1970,,,,,,
63,Kelly's Heroes,1970,1970,Brian G. Hutton,Troy Kennedy-Martin,"Clint Eastwood,Telly Savalas,Don Rickles",7.6,"Adventure,Comedy,War"
64,King: A Filmed Record... Montgomery to Memphis,1970,1970,"Sidney Lumet,Joseph L. Mankiewicz","Mitchell Grayson,Ely A. Landau","Paul Newman,Joanne Woodward,Ruby Dee",7.6,"Documentary,Biography,History"
65,The Kremlin Letter,1970,1970,John Huston,"Noel Behn,John Huston,Gladys Hill","Bibi Andersson,Richard Boone,Nigel Green",6.3,"Crime,Drama,Thriller"
66,The Lady in the Car with Glasses and a Gun,1970,2015,Joann Sfar,"Gilles Marchand,Patrick Godeau,Sébastien Japrisot","Freya Mavor,Benjamin Biolay,Elio Germano",5.5,"Crime,Drama,Mystery"
67,The Landlord,1970,2007,"Drew Antzis,Adam McKay","Will Ferrell,Adam McKay","Will Ferrell,Adam McKay,Pearl McKay",8.0,"Short,Comedy"
68,Land Raiders,1970,1969,Nathan Juran,"Jesse Lasky Jr.,Ken Pettus,Pat Silver","Telly Savalas,George Maharis,Arlene Dahl",5.3,"Action,Western"
69,The Last Escape,1970,1975,Richard Compton,Richard Compton,"Nick Nolte,Don Johnson,Robin Mattson",5.6,Drama
70,Last of the Mobile Hot Shots,1970,1970,Sidney Lumet,"Tennessee Williams,Gore Vidal","James Coburn,Lynn Redgrave,Robert Hooks",5.2,Drama
71,The Last Warrior,1970,2017,Dmitriy Dyachenko,"Pavel Danilov,Vasiliy Kutsenko,Vitaliy Shlyappo","Viktor Khorinyak,Mila Sivatskaya,Ekaterina Vilkova",6.5,"Action,Adventure,Comedy"
72,The Lawyer,1970,,,,,7.0,"Crime,Drama,Mystery"
73,The Liberation of L.B. Jones,1970,1970,William Wyler,"Jesse Hill Ford,Stirling Silliphant","Lee J. Cobb,Anthony Zerbe,Roscoe Lee Browne",6.8,"Crime,Drama,Romance"
74,Little Big Man,1970,1970,Arthur Penn,"Thomas Berger,Calder Willingham","Dustin Hoffman,Faye Dunaway,Chief Dan George",7.6,"Adventure,Comedy,Drama"
75,Little Fauss and Big Halsy,1970,1970,Sidney J. Furie,Charles Eastman,"Robert Redford,Michael J. Pollard,Lauren Hutton",5.9,Drama
76,Love Story,1970,1970,Arthur Hiller,Erich Segal,"Ali MacGraw,Ryan O'Neal,John Marley",6.9,"Drama,Romance"
77,Lovers and Other Strangers,1970,1970,Cy Howard,"Joseph Bologna,Renée Taylor,David Zelag Goodman","Gig Young,Bea Arthur,Bonnie Bedelia",6.6,Comedy
78,Loving,1970,2017,Esteban Crespo,"Esteban Crespo,Mario Fernandez Alonso","María Pedraza,Pol Monen,Natalia Tena",5.2,"Drama,Romance"
79,The Man from O.R.G.Y.,1970,1970,James Hill,Ted Mark,"Robert Walker Jr.,Steve Rossi,Slappy White",3.9,"Comedy,Crime"
80,M*A*S*H,1970,,,,,8.4,"Comedy,Drama,War"
81,Macho Callahan,1970,1970,Bernard L. Kowalski,"Richard Carr,Cliff Gould","David Janssen,Jean Seberg,Lee J. Cobb",5.3,Western
82,Maidstone,1970,1970,Norman Mailer,Norman Mailer,"Norman Mailer,Rip Torn,Paul Austin",4.9,Drama
83,A Man Called Horse,1970,1970,Elliot Silverstein,"Jack DeWitt,Dorothy M. Johnson,Gregory Crosby","Richard Harris,Judith Anderson,Jean Gascon",6.9,"Adventure,Drama,Western"
84,The McMasters,1970,1970,Alf Kjellin,Harold Jacob Smith,"Burl Ives,Brock Peters,David Carradine",6.0,"Action,Drama,Western"
85,The Molly Maguires,1970,1970,Martin Ritt,"Arthur H. Lewis,Walter Bernstein","Sean Connery,Richard Harris,Samantha Eggar",6.9,"Drama,History"
86,Monte Walsh,1970,,Simon Wincer,"Michael Brandman,Robert B. Parker,David Zelag Goodman","Tom Selleck,Isabella Rossellini,Keith Carradine",7.1,"Romance,Western"
87,The Moonshine War,1970,1970,Richard Quine,Elmore Leonard,"Patrick McGoohan,Richard Widmark,Alan Alda",5.9,"Comedy,Crime,Drama"
88,Move,1970,1970,Stuart Rosenberg,"Joel Lieber,Stan Hart","Elliott Gould,Paula Prentiss,Geneviève Waïte",5.1,"Comedy,Fantasy"
89,"My Lover, My Son",1970,1970,John Newland,"Edward Grierson,Jenni Hall,William Marchant","Romy Schneider,Donald Houston,Dennis Waterman",5.1,Drama
90,Myra Breckinridge,1970,1970,Michael Sarne,"Gore Vidal,Michael Sarne,David Giler","Mae West,John Huston,Raquel Welch",4.5,Comedy
91,Nam's Angels,1970,1970,Jack Starrett,Alan Caillou,"William Smith,Bernie Hamilton,Adam Roarke",5.4,"Action,Drama,Thriller"
92,No Blade of Grass,1970,1970,Cornel Wilde,"Sean Forestal,Cornel Wilde,John Christopher","Nigel Davenport,Jean Wallace,John Hamill",5.9,"Drama,Sci-Fi"
93,Norwood,1970,1970,Jack Haley Jr.,"Charles Portis,Marguerite Roberts","Glen Campbell,Kim Darby,Joe Namath",5.4,Comedy
94,On a Clear Day You Can See Forever,1970,1970,Vincente Minnelli,Alan Jay Lerner,"Barbra Streisand,Yves Montand,Bob Newhart",6.4,"Comedy,Drama,Fantasy"
95,One More Time,1970,2015,Robert Edwards,Robert Edwards,"Christopher Walken,Amber Heard,Kelli Garner",4.9,"Comedy,Drama,Music"
96,The Only Game in Town,1970,1970,George Stevens,Frank D. Gilroy,"Elizabeth Taylor,Warren Beatty,Charles Braswell",5.8,"Comedy,Drama,Romance"
97,The Out-of-Towners,1970,1970,Arthur Hiller,Neil Simon,"Jack Lemmon,Sandy Dennis,Sandy Baron",7.1,Comedy
98,The Owl and the Pussycat,1970,1970,Herbert Ross,"Bill Manhoff,Buck Henry","Barbra Streisand,George Segal,Robert Klein",6.5,"Comedy,Romance"
99,Patton,1970,1970,Franklin J. Schaffner,"Francis Ford Coppola,Edmund H. North,Ladislas Farago","George C. Scott,Karl Malden,Stephen Young",7.9,"Biography,Drama,War"
100,The People Next Door,1970,1970,David Greene,J.P. Miller,"Eli Wallach,Julie Harris,Deborah Winters",6.4,Drama
101,The Phantom Tollbooth,1970,1970,"Chuck Jones,Abe Levitow,Dave Monahan","Chuck Jones,Sam Rosen,Norton Juster","Butch Patrick,Hans Conried,Mel Blanc",6.9,"Animation,Adventure,Comedy"
102,The Phynx,1970,1970,"Lee H. Katzin,Robert McKimson","Bob Booker,George Foster,Stan Cornyn","Michael A. Miller,Ray Chippeway,Dennis Larden",4.6,"Comedy,Music"
103,Pieces of Dreams,1970,1970,Daniel Haller,"William E. Barrett,Roger O. Hirson,John McCollam","Robert Forster,Lauren Hutton,Will Geer",5.0,Drama
104,Pigeons,1970,1970,John Dexter,"David Boyer,Ron Whyte","Jordan Christopher,Jill O'Hara,Robert Walden",6.1,Comedy
105,Promise at Dawn,1970,2017,Eric Barbier,"Eric Barbier,Marie Eynard,Romain Gary","Pierre Niney,Charlotte Gainsbourg,Didier Bourdon",7.2,"Biography,Drama,Romance"
106,Pufnstuf,1970,1970,Hollingsworth Morse,"John Fenton Murray,Si Rose","Jack Wild,Billie Hayes,Martha Raye",6.7,"Adventure,Comedy,Family"
107,"Pussycat, Pussycat, I Love You",1970,1970,Rod Amateau,"Rod Amateau,Woody Allen","Ian McShane,Anna Calder-Marshall,John Gavin",4.6,Comedy
108,Puzzle of a Downfall Child,1970,1970,Jerry Schatzberg,"Jerry Schatzberg,Carole Eastman","Faye Dunaway,Barry Primus,Viveca Lindfors",6.6,Drama
109,R. P. M.,1970,,,,,,Documentary
110,"Rabbit, Run",1970,1970,Jack Smight,"John Updike,Howard B. Kreitsek","James Caan,Anjanette Comer,Carrie Snodgress",5.5,Drama
111,The Rebel Rousers,1970,1970,Martin B. Cohen,"Martin B. Cohen,Michael Kars,Abe Polsky","Cameron Mitchell,Bruce Dern,Diane Ladd",4.1,"Crime,Drama"
112,The Revolutionary,1970,1970,Paul Williams,Hans Koningsberger,"Jon Voight,Seymour Cassel,Robert Duvall",5.6,"Action,Drama"
113,Rio Lobo,1970,1970,Howard Hawks,"Burton Wohl,Leigh Brackett","John Wayne,Jorge Rivero,Jennifer O'Neill",6.8,"War,Western"
114,Ritual of Evil,1970,,Robert Day,"Robert Presnell Jr.,Richard Alan Simmons","Louis Jourdan,Anne Baxter,Diana Hyland",5.6,"Drama,Horror"
115,Savage Intruder,1970,1970,Donald Wolfe,Donald Wolfe,"Miriam Hopkins,David Garfield,Gale Sondergaard",5.6,"Horror,Thriller"
116,Skullduggery,1970,1970,"Gordon Douglas,Richard Wilson","Nelson Gidding,Vercors","Burt Reynolds,Susan Clark,Roger C. Carmel",4.6,Adventure
117,Soldier Blue,1970,1970,Ralph Nelson,"Theodore V. Olsen,John Gay","Candice Bergen,Peter Strauss,Donald Pleasence",6.9,Western
118,Something for Everyone,1970,1970,Harold Prince,"Harry Kressing,Hugh Wheeler","Angela Lansbury,Michael York,Anthony Higgins",7.2,"Comedy,Crime,Drama"
119,Song of Norway,1970,1970,Andrew L. Stone,"Homer Curran,Milton Lazarus,Andrew L. Stone","Florence Henderson,Toralv Maurstad,Christina Schollin",4.1,"Biography,Drama,Musical"
120,Start the Revolution Without Me,1970,1970,Bud Yorkin,"Fred Freeman,Lawrence J. Cohen","Gene Wilder,Donald Sutherland,Hugh Griffith",6.5,"Comedy,History"
121,The Strawberry Statement,1970,1970,Stuart Hagmann,"James Kunen,Israel Horovitz","Bruce Davison,Kim Darby,Bud Cort",6.7,"Drama,Romance"
122,Street Scenes,1970,1970,,,,6.5,Documentary
123,Sunflower,1970,,,,,7.5,"Comedy,Crime"
124,Suppose They Gave a War and Nobody Came,1970,1970,Hy Averback,"Hal Captain,Don McGuire","Brian Keith,Tony Curtis,Ernest Borgnine",5.5,"Comedy,Drama"
125,"Tell Me That You Love Me, Junie Moon",1970,1970,Otto Preminger,Marjorie Kellogg,"Liza Minnelli,Ken Howard,Robert Moore",6.1,"Comedy,Drama,Romance"
126,There Was a Crooked Man...,1970,1970,Joseph L. Mankiewicz,"David Newman,Robert Benton","Kirk Douglas,Henry Fonda,Hume Cronyn",6.9,"Comedy,Western"
127,They Call Me MISTER Tibbs!,1970,1970,Gordon Douglas,"Alan Trustman,James R. Webb,John Ball","Sidney Poitier,Martin Landau,Barbara McNair",6.1,"Crime,Drama,Mystery"
128,...tick...tick...tick...,1970,1970,Ralph Nelson,James Lee Barrett,"Jim Brown,George Kennedy,Fredric March",6.7,"Drama,Action"
129,Tiger by the Tail,1970,1970,R.G. Springsteen,Charles A. Wallace,"Christopher George,Tippi Hedren,Dean Jagger",5.7,"Drama,Thriller"
130,Togetherness,1970,,,,,7.5,"Comedy,Drama,Romance"
131,Too Late the Hero,1970,1970,Robert Aldrich,"Robert Aldrich,Robert Sherman,Lukas Heller","Michael Caine,Cliff Robertson,Ian Bannen",6.7,"Action,Drama,War"
132,Tora! Tora! Tora!,1970,1970,"Richard Fleischer,Kinji Fukasaku,Toshio Masuda","Larry Forrester,Hideo Oguni,Ryûzô Kikushima","Martin Balsam,Sô Yamamura,Jason Robards",7.5,"Action,Drama,History"
133,Trash,1970,2014,"Stephen Daldry,Christian Duurvoort","Andy Mulligan,Felipe Braga,Richard Curtis","Rickson Tevez,Gabriel Weinstein,Martin Sheen",7.2,"Adventure,Crime,Drama"
134,The Traveling Executioner,1970,1970,Jack Smight,Garrie Bateson,"Stacy Keach,Marianna Hill,Bud Cort",6.3,"Comedy,Drama,Western"
135,The Twelve Chairs,1970,1970,Mel Brooks,"Ilya Ilf,Yevgeni Petrov,Elizabeth Hill","Mel Brooks,Ron Moody,Frank Langella",6.5,Comedy
136,Two Mules for Sister Sara,1970,1970,Don Siegel,"Budd Boetticher,Albert Maltz","Clint Eastwood,Shirley MacLaine,Manolo Fábregas",7.0,"Adventure,Romance,War"
137,Up in the Cellar,1970,1970,Theodore J. Flicker,"Angus Hall,Theodore J. Flicker","Wes Stern,Joan Collins,Larry Hagman",5.1,"Comedy,Romance"
138,WUSA,1970,1970,Stuart Rosenberg,Robert Stone,"Paul Newman,Joanne Woodward,Anthony Perkins",5.5,"Drama,Romance"
139,A Walk in the Spring Rain,1970,1970,Guy Green,"Rachel Maddux,Stirling Silliphant","Ingrid Bergman,Anthony Quinn,Fritz Weaver",6.2,"Drama,Romance"
140,Watermelon Man,1970,1970,Melvin Van Peebles,Herman Raucher,"Godfrey Cambridge,Estelle Parsons,Howard Caine",6.6,Comedy
141,The Way We Live Now,1970,,,,,7.6,"Drama,Romance"
142,What Do You Say to a Naked Lady?,1970,1970,Allen Funt,Allen Funt,"Joie Addison,Laura Huston,Martin Meyers",5.8,"Documentary,Comedy"
143,Where's Poppa?,1970,1970,Carl Reiner,Robert Klane,"George Segal,Ruth Gordon,Ron Leibman",6.5,Comedy
144,Which Way to the Front?,1970,1970,Jerry Lewis,"Gerald Gardner,Dee Caruso,Dick Miller","Jerry Lewis,Jan Murray,John Wood",4.7,"Comedy,War"
145,The Wild Country,1970,1970,Robert Totten,"Calvin Clements Jr.,Paul Savage,Ralph Moody","Steve Forrest,Vera Miles,Ron Howard",6.3,"Action,Adventure,Comedy"
146,Woodstock,1970,1970,,,,8.2,"Documentary,History,Music"
147,The Yin and the Yang of Mr. Go,1970,1970,Burgess Meredith,"Burgess Meredith,Joseph Zucchero,Alvin Ostroff","James Mason,Jack MacGowran,Irene Tsu",3.4,"Fantasy,Mystery,Thriller"
148,You Can't Win 'Em All,1970,1970,Peter Collinson,Leo Gordon,"Tony Curtis,Charles Bronson,Michèle Mercier",5.8,"Action,Adventure,Comedy"
149,Zabriskie Point,1970,1970,Michelangelo Antonioni,"Michelangelo Antonioni,Franco Rossetti,Sam Shepard","Mark Frechette,Daria Halprin,Paul Fix",7.0,Drama
150,Zig Zag,1970,1997,Jeb Stuart,Jeb Stuart,"Danny Glover,Dennis Quaid,Claudia Stedelin",6.4,"Crime,Mystery,Thriller"
151,200 Motels,1971,1971,"Tony Palmer,Frank Zappa","Frank Zappa,Tony Palmer,Mark Volman","Mark Volman,Howard Kaylan,Ian Underwood",5.8,"Comedy,Fantasy,Music"
152,The Anderson Tapes,1971,1971,Sidney Lumet,"Lawrence Sanders,Frank Pierson","Sean Connery,Dyan Cannon,Martin Balsam",6.4,"Action,Crime,Thriller"
153,The Andromeda Strain,1971,1971,Robert Wise,"Michael Crichton,Nelson Gidding","James Olson,Arthur Hill,David Wayne",7.2,"Mystery,Sci-Fi,Thriller"
154,Bananas,1971,1971,Woody Allen,"Woody Allen,Mickey Rose","Woody Allen,Louise Lasser,Carlos Montalbán",7.0,Comedy
155,The Barefoot Executive,1971,1971,Robert Butler,"Joseph L. McEveety,Lila Garrett,Bernie Kahn","Kurt Russell,Joe Flynn,Harry Morgan",6.0,"Comedy,Family"
156,The Battle of Love's Return,1971,1971,Lloyd Kaufman,Lloyd Kaufman,"Lloyd Kaufman,Lynn Lowry,Stanley Kaufman",4.0,Comedy
157,Bedknobs and Broomsticks,1971,1971,"Robert Stevenson,Ward Kimball","Ralph Wright,Ted Berman,Bill Walsh","Angela Lansbury,David Tomlinson,Roddy McDowall",7.1,"Animation,Adventure,Comedy"
158,Been Down So Long It Looks Like Up to Me,1971,1971,Jeffrey Young,"Richard Farina,Robert Schlitt","Barry Primus,David Downing,Susan Tyrrell",5.5,Drama
159,The Beguiled,1971,2017,Sofia Coppola,"Sofia Coppola,Thomas Cullinan,Albert Maltz","Nicole Kidman,Kirsten Dunst,Elle Fanning",6.3,"Drama,Thriller,War"
160,Believe in Me,1971,2006,Robert Collector,"Robert Collector,Harold Keith","Jeffrey Donovan,Samantha Mathis,Doris Hargrave",7.1,"Drama,Sport"
161,The Big Doll House,1971,1971,Jack Hill,Don Spencer,"Roberta Collins,Pam Grier,Judith Brown",5.9,"Action,Drama,Thriller"
162,Big Jake,1971,1971,"George Sherman,John Wayne","Harry Julian Fink,Rita M. Fink","John Wayne,Richard Boone,Maureen O'Hara",7.1,Western
163,Billy Jack,1971,1971,Tom Laughlin,"Tom Laughlin,Delores Taylor","Tom Laughlin,Delores Taylor,Clark Howat",6.2,"Action,Drama,Western"
164,Black Noon,1971,,Bernard L. Kowalski,Andrew J. Fenady,"Roy Thinnes,Yvette Mimieux,Ray Milland",5.9,"Horror,Western"
165,Bless the Beasts and Children,1971,1971,Stanley Kramer,"Glendon Swarthout,Mac Benoff","Bill Mumy,Barry Robins,Miles Chapin",6.7,"Comedy,Drama"
166,Blood and Lace,1971,1971,Philip S. Gilbert,Gil Lasky,"Gloria Grahame,Melody Patterson,Milton Selzer",5.5,Horror
167,Blood Thirst,1971,,,,,6.8,Horror
168,Born to Win,1971,1971,Ivan Passer,"David Scott Milton,Ivan Passer","George Segal,Paula Prentiss,Karen Black",5.6,"Comedy,Crime,Drama"
169,Boys in the Sand,1971,2020,Joe Mantello,"Mart Crowley,Ned Martel","Jim Parsons,Zachary Quinto,Matt Bomer",6.8,Drama
170,The Boy Friend,1971,1971,Ken Russell,"Ken Russell,Sandy Wilson","Twiggy,Christopher Gable,Max Adrian",6.9,"Comedy,Musical,Romance"
171,Brian's Song,1971,,Buzz Kulik,"William Blinn,Gale Sayers,Al Silverman","James Caan,Billy Dee Williams,Jack Warden",7.6,"Biography,Drama,Sport"
172,The Bridge in the Jungle,1971,1970,Pancho Kohner,"B. Traven,Pancho Kohner","John Huston,Charles Robinson,Katy Jurado",5.2,"Adventure,Drama"
173,Brother John,1971,1971,James Goldstone,Ernest Kinoy,"Sidney Poitier,Will Geer,Bradford Dillman",6.5,"Drama,Sci-Fi"
174,B.S. I Love You,1971,1971,Steven Hilliard Stern,Steven Hilliard Stern,"Peter Kastner,JoAnna Cameron,Louise Sorel",4.0,"Comedy,Romance"
