,name,year,idbm_year,length,director,writers,star,rating,genre
1228,Outlaw Blues,1977,1977,1h 40m,Richard T. Heffron,Bill Norton,"Peter Fonda,Susan Saint James,John Crawford",6.0,"Action,Comedy,Drama"
1229,The Pack,1977,,,,,,6.0,"Crime,Drama,Mystery"
1230,The People That Time Forgot,1977,1977,1h 31m,Kevin Connor,"Edgar Rice Burroughs,Patrick Tilley","Patrick Wayne,Doug McClure,Sarah Douglas",5.4,"Adventure,Sci-Fi"
1231,Pete's Dragon,1977,2016,1h 42m,David Lowery,"David Lowery,Toby Halbrooks,Malcolm Marmorstein","Bryce Dallas Howard,Robert Redford,Oakes Fegley",6.7,"Action,Adventure,Comedy"
1232,A Piece of the Action,1977,1977,2h 15m,Sidney Poitier,"Charles Blackwell,Timothy March","Sidney Poitier,Bill Cosby,James Earl Jones",6.5,"Crime,Comedy"
1233,Pine Canyon is Burning,1977,,1h 13m,Christian I. Nyby II,Robert A. Cinader,"Kent McCord,Megan McCord,Shane Sinutko",6.7,Drama
1234,Planet of Dinosaurs,1977,1977,1h 24m,James K. Shea,"Ralph Lucas,Jim Aupperle","Mary Appleseth,Harvey Shain,Derna Wylde",4.0,"Sci-Fi,Drama"
1235,Portrait of a Hitman,1977,1979,1h 26m,Allan A. Buckhantz,Yabo Yablonsky,"Jack Palance,Rod Steiger,Bo Svenson",4.3,"Drama,Action"
1236,The Private Files of J. Edgar Hoover,1977,1977,1h 52m,Larry Cohen,Larry Cohen,"Broderick Crawford,James Wainwright,Michael Parks",6.1,"Biography,Drama"
1237,Pumping Iron,1977,1977,1h 26m,"George Butler,Robert Fiore","Charles Gaines,George Butler","Arnold Schwarzenegger,Lou Ferrigno,Matty Ferrigno",7.4,"Documentary,Sport"
1238,Rabid,1977,1977,1h 31m,David Cronenberg,David Cronenberg,"Marilyn Chambers,Frank Moore,Joe Silver",6.3,"Horror,Sci-Fi"
1239,"Race for Your Life, Charlie Brown",1977,1977,1h 16m,"Bill Melendez,Phil Roman",Charles M. Schulz,"Duncan Watson,Greg Felton,Stuart Brotman",7.3,"Animation,Adventure,Comedy"
1240,Raggedy Ann & Andy: A Musical Adventure,1977,1977,1h 24m,"Richard Williams,Abe Levitow","Johnny Gruelle,Patricia Thackray,Max Wilk","Claire Williams,Didi Conn,Mark Baker",6.7,"Animation,Comedy,Family"
1241,Raid on Entebbe,1977,,Not RatedNot Rated,Irvin Kershner,Barry Beckerman,"Peter Finch,Charles Bronson,Yaphet Kotto",6.8,"Action,Drama,History"
1242,The Ransom,1977,1963,2h 23m,Akira Kurosawa,"Hideo Oguni,Ryûzô Kikushima,Eijirô Hisaita","Toshirô Mifune,Yutaka Sada,Tatsuya Nakadai",8.4,"Crime,Drama,Mystery"
1243,The Rescuers,1977,1977,1h 18m,"John Lounsbery,Wolfgang Reitherman,Art Stevens","Margery Sharp,Larry Clemmons,Ken Anderson","Bob Newhart,Eva Gabor,Geraldine Page",6.9,"Animation,Adventure,Comedy"
1244,Rollercoaster,1977,1977,1h 59m,James Goldstone,"Sanford Sheldon,Richard Levinson,William Link","George Segal,Timothy Bottoms,Richard Widmark",6.3,"Action,Crime,Drama"
1245,Rolling Thunder,1977,1977,1h 35m,John Flynn,"Paul Schrader,Heywood Gould","William Devane,Tommy Lee Jones,Linda Haynes",7.0,"Crime,Drama,Thriller"
1246,Roseland,1977,1977,1h 44m,James Ivory,Ruth Prawer Jhabvala,"Teresa Wright,Lou Jacobi,Don De Natale",5.9,"Drama,Music,Romance"
1247,Ruby,1977,,,,,,,
1248,Run for the Roses,1977,1977,1h 33m,Henry Levin,"Mimi Avins,Joseph G. Prieto","Vera Miles,Stuart Whitman,Sam Groom",5.5,"Drama,Sport"
1249,Satan's Cheerleaders,1977,1977,1h 32m,Greydon Clark,"Greydon Clark,Alvin L. Fast","John Ireland,Yvonne De Carlo,Jack Kruschen",4.1,"Comedy,Horror"
1250,Saturday Night Fever,1977,1977,1h 58m,John Badham,"Nik Cohn,Norman Wexler","John Travolta,Karen Lynn Gorney,Barry Miller",6.8,"Drama,Music"
1251,Scott Joplin,1977,,PGPG,Jeremy Kagan,Christopher Knopf,"Billy Dee Williams,Clifton Davis,Margaret Avery",6.7,"Biography,Drama,Music"
1252,Semi-Tough,1977,1977,1h 48m,Michael Ritchie,"Walter Bernstein,Dan Jenkins,Ring Lardner Jr.","Burt Reynolds,Kris Kristofferson,Jill Clayburgh",5.9,"Comedy,Romance,Sport"
1253,The Sentinel,1977,1977,1h 32m,Michael Winner,"Jeffrey Konvitz,Michael Winner","Cristina Raines,Ava Gardner,Chris Sarandon",6.4,Horror
1254,"September 30, 1955",1977,1977,1h 41m,James Bridges,James Bridges,"Richard Thomas,Susan Tyrrell,Deborah Benson",6.3,Drama
1255,The Serpent's Egg,1977,1977,1h 59m,Ingmar Bergman,Ingmar Bergman,"Liv Ullmann,David Carradine,Gert Fröbe",6.7,"Drama,Mystery,Thriller"
1256,The Shadow of Chikara,1977,1977,1h 54m,Earl E. Smith,Earl E. Smith,"Joe Don Baker,Sondra Locke,Ted Neeley",5.5,"Horror,Western"
1257,Shock Waves,1977,1977,1h 25m,Ken Wiederhorn,"John Kent Harrison,Ken Wiederhorn,Ken Pare","Peter Cushing,John Carradine,Brooke Adams",5.6,"Horror,Mystery,Sci-Fi"
1258,Short Eyes,1977,1977,1h 40m,Robert M. Young,Miguel Pinero,"Bruce Davison,José Pérez,Nathan George",7.1,Drama
1259,Sidewinder 1,1977,1977,1h 36m,Earl Bellamy,"Nancy Voyles Crawford,Thomas A. McMahon","Marjoe Gortner,Michael Parks,Susan Howard",6.0,"Action,Drama"
1260,Sinbad and the Eye of the Tiger,1977,1977,1h 53m,Sam Wanamaker,"Beverley Cross,Ray Harryhausen","Patrick Wayne,Jane Seymour,Taryn Power",6.4,"Action,Adventure,Family"
1261,Slap Shot,1977,1977,2h 3m,George Roy Hill,Nancy Dowd,"Paul Newman,Michael Ontkean,Strother Martin",7.3,"Comedy,Drama,Sport"
1262,Smokey and the Bandit,1977,1977,1h 36m,Hal Needham,"Hal Needham,Robert L. Levy,James Lee Barrett","Burt Reynolds,Sally Field,Jerry Reed",7.0,"Action,Adventure,Comedy"
1263,Sorcerer,1977,1977,2h 1m,William Friedkin,"Walon Green,Georges Arnaud","Roy Scheider,Bruno Cremer,Francisco Rabal",7.7,"Adventure,Drama,Thriller"
1264,Speedtrap,1977,1977,1h 53m,Earl Bellamy,"Fred Mintz,Henry C. Parke,Stuart A. Segal","Joe Don Baker,Tyne Daly,Richard Jaeckel",5.5,"Action,Crime,Drama"
1265,The Spy Who Loved Me,1977,1977,2h 5m,Lewis Gilbert,"Christopher Wood,Richard Maibaum,Ian Fleming","Roger Moore,Barbara Bach,Curd Jürgens",7.1,"Action,Adventure,Thriller"
1266,Star Wars Episode IV: A New Hope,1977,,,Trevor Garner,Keith Brooks,Keith Brooks,,Talk-Show
1267,Stunts,1977,1977,1h 29m,Mark L. Lester,"Robert Shaye,Michael Harpster,Raymond Lofaro","Robert Forster,Fiona Lewis,Ray Sharkey",5.5,"Drama,Mystery"
1268,Telefon,1977,2020,1h 52m,Chung-Hyun Lee,"Sergio Casci,Chung-Hyun Lee","Park Shin-Hye,Jeon Jong-seo,Sung-ryung Kim",7.1,"Crime,Horror,Mystery"
1269,Tentacles,1977,1977,1h 42m,Ovidio G. Assonitis,"Jerome Max,Tito Carpi,Steven W. Carabatsos","John Huston,Shelley Winters,Bo Hopkins",3.7,"Action,Adventure,Comedy"
1270,Thieves,1977,1996,1h 57m,André Téchiné,"André Téchiné,Gilles Taurand,Michel Alexandre","Catherine Deneuve,Daniel Auteuil,Laurence Côte",6.8,"Crime,Drama,Romance"
1271,Thunder and Lightning,1977,1977,1h 35m,Corey Allen,"William Hjortsberg,Roger Corman","David Carradine,Kate Jackson,Sterling Holloway",5.3,"Action,Adventure,Comedy"
1272,Too Hot to Handle,1977,,TV-MATV-MA,,,,4.6,"Game-Show,Reality-TV,Romance"
1273,The Turning Point,1977,2016,1h 36m,Fisher Stevens,Mark Monroe,"Leonardo DiCaprio,Ki-moon Ban,Alejandro G. Iñárritu",8.2,"Documentary,News"
1274,Twilight's Last Gleaming,1977,1977,2h 26m,Robert Aldrich,"Ronald M. Cohen,Edward Huebsch,Walter Wager","Burt Lancaster,Richard Widmark,Roscoe Lee Browne",6.8,"Drama,Thriller"
1275,Valentino,1977,1977,2h 8m,Ken Russell,"Ken Russell,Mardik Martin,Brad Steiger","Rudolf Nureyev,Leslie Caron,Michelle Phillips",6.1,"Biography,Drama"
1276,The Van,1977,1996,1h 40m,Stephen Frears,Roddy Doyle,"Colm Meaney,Donal O'Kelly,Ger Ryan",6.7,"Comedy,Drama"
1277,Viva Knievel!,1977,1977,1h 46m,Gordon Douglas,"Antonio Santean,Norman Katkov","Evel Knievel,Gene Kelly,Lauren Hutton",3.4,"Action,Adventure,Biography"
1278,Walking Tall: Final Chapter,1977,1977,1h 52m,Jack Starrett,"Howard B. Kreitsek,Samuel A. Peeples","Bo Svenson,Lurene Tuttle,Forrest Tucker",5.8,"Action,Crime,Drama"
1279,Which Way Is Up?,1977,1977,1h 34m,Michael Schultz,"Lina Wertmüller,Carl Gottlieb,Cecil Brown","Richard Pryor,Lonette McKee,Margaret Avery",6.3,Comedy
1280,The White Buffalo,1977,1977,1h 37m,J. Lee Thompson,Richard Sale,"Charles Bronson,Jack Warden,Will Sampson",6.2,"Action,Adventure,Western"
1281,Wilma,1977,,,,,,,
1282,Wizards,1977,,,,,,,
1283,Word Is Out,1977,1977,,,,,7.9,Documentary
1284,The World's Greatest Lover,1977,1977,1h 29m,Gene Wilder,Gene Wilder,"Gene Wilder,Carol Kane,Dom DeLuise",5.8,Comedy
1285,You Light Up My Life,1977,1977,1h 30m,Joseph Brooks,Joseph Brooks,"Didi Conn,Joe Silver,Michael Zaslow",4.7,"Drama,Music,Romance"
1286,Almost Summer,1978,1978,1h 28m,Martin Davidson,"Judith Berg,Sandra Berg,Martin Davidson","Bruno Kirby,Lee Purcell,John Friedrich",5.9,Comedy
1287,American Hot Wax,1978,1978,1h 31m,Floyd Mutrux,"John Kaye,Art Linson","Tim McIntire,Fran Drescher,Jay Leno",7.0,"Drama,History,Music"
1288,The Astral Factor,1978,1978,1h 25m,"John Florea,Gene Fowler Jr.,Arthur C. Pierce","Arthur C. Pierce,Earle Lyon","Robert Foxworth,Stefanie Powers,Sue Lyon",3.6,"Crime,Sci-Fi,Thriller"
1289,Attack of the Killer Tomatoes,1978,1978,1h 23m,John De Bello,"Costa Dillon,John De Bello,J. Stephen Peace","David Miller,George Wilson,Sharon Taylor",4.7,"Adventure,Comedy,Horror"
1290,Avalanche,1978,1999,1h 36m,Steve Kroschel,"Lars Guignard,Steve Kroschel","Thomas Ian Griffith,Caroleen Feeney,R. Lee Ermey",4.1,"Action,Thriller"
1291,The Bad News Bears Go to Japan,1978,1978,1h 31m,John Berry,Bill Lancaster,"Tony Curtis,Jackie Earle Haley,Tomisaburô Wakayama",3.8,"Comedy,Family,Sport"
1292,The Betsy,1978,1978,2h 5m,Daniel Petrie,"Harold Robbins,William Bast,Walter Bernstein","Laurence Olivier,Robert Duvall,Katharine Ross",5.2,Drama
1293,The Big Fix,1978,1978,1h 48m,Jeremy Kagan,Roger L. Simon,"Richard Dreyfuss,Susan Anspach,Bonnie Bedelia",6.3,"Comedy,Mystery,Thriller"
1294,Big Wednesday,1978,1978,2h,John Milius,"John Milius,Dennis Aaberg","Jan-Michael Vincent,William Katt,Gary Busey",7.2,"Drama,Sport"
1295,Bloodbrothers,1978,1978,1h 56m,Robert Mulligan,"Richard Price,Walter Newman","Paul Sorvino,Tony Lo Bianco,Richard Gere",5.8,Drama
1296,Blue Collar,1978,1978,1h 54m,Paul Schrader,"Paul Schrader,Leonard Schrader,Sydney A. Glass","Richard Pryor,Harvey Keitel,Yaphet Kotto",7.5,"Crime,Drama"
1297,Born Again,1978,,35m,,,,6.5,"Fantasy,Mystery,Romance"
1298,The Boys from Brazil,1978,1978,2h 5m,Franklin J. Schaffner,"Ira Levin,Heywood Gould","Gregory Peck,Laurence Olivier,James Mason",7.0,"Drama,Mystery,Sci-Fi"
1299,The Boys in Company C,1978,1978,2h 5m,Sidney J. Furie,"Rick Natkin,Sidney J. Furie","Stan Shaw,Andrew Stevens,James Canning",7.0,"Drama,War"
1300,Brass Target,1978,1978,1h 51m,John Hough,"Frederick Nolan,Alvin Boretz","Sophia Loren,John Cassavetes,Max von Sydow",5.9,"Action,Drama,Mystery"
1301,The Brink's Job,1978,1978,1h 44m,William Friedkin,"Walon Green,Noel Behn","Peter Falk,Peter Boyle,Allen Garfield",6.5,"Comedy,Crime,Drama"
1302,The Buddy Holly Story,1978,1978,1h 54m,Steve Rash,"Alan Swyer,John Goldrosen,Robert Gittler","Gary Busey,Don Stroud,Charles Martin Smith",7.2,"Biography,Drama,Music"
1303,California Suite,1978,1978,1h 43m,Herbert Ross,Neil Simon,"Jane Fonda,Alan Alda,Maggie Smith",6.2,"Comedy,Drama,Romance"
1304,Capricorn One,1978,1977,2h 3m,Peter Hyams,Peter Hyams,"Elliott Gould,James Brolin,Brenda Vaccaro",6.9,"Action,Adventure,Drama"
1305,Caravans,1978,1978,2h 7m,James Fargo,"James A. Michener,Nancy Voyles Crawford,Thomas A. McMahon","Anthony Quinn,Michael Sarrazin,Christopher Lee",6.1,"Action,Adventure,History"
1306,Casey's Shadow,1978,1978,1h 57m,Martin Ritt,"Carol Sobieski,John McPhee","Walter Matthau,Alexis Smith,Robert Webber",6.2,"Drama,Family,Sport"
1307,The Cat from Outer Space,1978,1978,1h 44m,Norman Tokar,Ted Key,"Ken Berry,Sandy Duncan,Harry Morgan",6.1,"Comedy,Family,Sci-Fi"
1308,The Cheap Detective,1978,1978,1h 32m,Robert Moore,Neil Simon,"Peter Falk,Ann-Margret,Eileen Brennan",6.5,"Comedy,Crime,Mystery"
1309,Coma,1978,2019,,Nikita Argunov,"Nikita Argunov,Aleksey Gravitskiy,Timofei Dekin","Rinal Mukhametov,Lyubov Aksyonova,Anton Pampushnyy",6.3,"Action,Adventure,Fantasy"
1310,Comes a Horseman,1978,1978,1h 58m,Alan J. Pakula,Dennis Lynton Clark,"James Caan,Jane Fonda,Jason Robards",6.3,"Drama,Romance,Western"
1311,Coming Home,1978,1978,2h 7m,Hal Ashby,"Waldo Salt,Robert C. Jones,Nancy Dowd","Jane Fonda,Jon Voight,Bruce Dern",7.3,"Drama,Romance,War"
1312,Convoy,1978,1978,1h 50m,Sam Peckinpah,"Bill Norton,Chip Davis,Bill Fries","Kris Kristofferson,Ali MacGraw,Ernest Borgnine",6.3,"Action,Drama"
1313,Corvette Summer,1978,1978,1h 45m,Matthew Robbins,"Hal Barwood,Matthew Robbins","Mark Hamill,Annie Potts,Eugene Roche",5.7,"Adventure,Comedy"
1314,Damien: Omen II,1978,1978,1h 47m,"Don Taylor,Mike Hodges","Harvey Bernhard,David Seltzer,Stanley Mann","William Holden,Lee Grant,Jonathan Scott-Taylor",6.3,Horror
1315,Dawn of the Dead,1978,2004,1h 41m,Zack Snyder,"George A. Romero,James Gunn","Sarah Polley,Ving Rhames,Mekhi Phifer",7.3,"Action,Horror"
1316,Days of Heaven,1978,1978,1h 34m,Terrence Malick,Terrence Malick,"Richard Gere,Brooke Adams,Sam Shepard",7.8,"Drama,Romance"
1317,Death Dimension,1978,1978,1h 28m,Al Adamson,Harry Hope,"Jim Kelly,Harold Sakata,George Lazenby",4.5,"Action,Sci-Fi"
1318,Deathsport,1978,1978,1h 22m,"Allan Arkush,Nicholas Niciphor,Roger Corman","Nicholas Niciphor,Donald E. Stewart,Frances Doel","David Carradine,Claudia Jennings,Richard Lynch",4.2,"Action,Drama,Sci-Fi"
1319,The Deer Hunter,1978,1978,3h 3m,Michael Cimino,"Michael Cimino,Deric Washburn,Louis Garfinkle","Robert De Niro,Christopher Walken,John Cazale",8.1,"Drama,War"
1320,A Different Story,1978,1978,1h 48m,Paul Aaron,Henry Olek,"Perry King,Meg Foster,Valerie Curtin",5.7,"Drama,Romance"
1321,The Driver,1978,1978,1h 31m,Walter Hill,Walter Hill,"Ryan O'Neal,Bruce Dern,Isabelle Adjani",7.2,"Action,Crime,Thriller"
1322,The End,1978,,,,,,7.3,Drama
1323,An Enemy of the People,1978,1978,1h 43m,George Schaefer,"Arthur Miller,Alexander Jacobs,Henrik Ibsen","Steve McQueen,Bibi Andersson,Charles Durning",7.0,Drama
1324,Every Which Way but Loose,1978,1978,1h 54m,James Fargo,Jeremy Joe Kronsberg,"Clint Eastwood,Sondra Locke,Geoffrey Lewis",6.4,"Action,Comedy"
1325,The Evil,1978,1978,1h 29m,Gus Trikonis,"Galen Thompson,David Sheldon,Gus Trikonis","Richard Crenna,Joanna Pettet,Andrew Prine",5.7,"Horror,Thriller"
1326,Eyes of Laura Mars,1978,1978,1h 44m,Irvin Kershner,"John Carpenter,David Zelag Goodman,Tommy Lee Jones","Faye Dunaway,Tommy Lee Jones,Brad Dourif",6.2,"Mystery,Thriller"
1327,F.I.S.T.,1978,1978,2h 25m,Norman Jewison,"Joe Eszterhas,Sylvester Stallone,Norman Jewison","Sylvester Stallone,Rod Steiger,Peter Boyle",6.4,"Crime,Drama,Thriller"
1328,FM,1978,1978,1h 44m,John A. Alonzo,Ezra Sacks,"Michael Brandon,Eileen Brennan,Alex Karras",6.3,"Comedy,Drama,Music"
1329,Fedora,1978,1978,1h 56m,Billy Wilder,"Billy Wilder,I.A.L. Diamond,Tom Tryon","William Holden,Marthe Keller,Hildegard Knef",6.8,"Drama,Romance"
1330,Fingers,1978,1978,1h 30m,James Toback,James Toback,"Harvey Keitel,Tisa Farrow,Jim Brown",6.8,"Crime,Drama,Music"
1331,Force 10 from Navarone,1978,1978,1h 58m,Guy Hamilton,"Alistair MacLean,Robin Chapman,Carl Foreman","Harrison Ford,Robert Shaw,Edward Fox",6.4,"Action,Drama,War"
1332,Foul Play,1978,1978,1h 56m,Colin Higgins,Colin Higgins,"Goldie Hawn,Chevy Chase,Burgess Meredith",6.8,"Comedy,Mystery,Thriller"
1333,The Fury,1978,2015,1h 46m,Sarah Gavron,Abi Morgan,"Carey Mulligan,Anne-Marie Duff,Helena Bonham Carter",6.9,"Drama,History"
1334,Girlfriends,1978,,TV-PGTV-PG,,,,7.2,Comedy
1335,Go Tell the Spartans,1978,1978,1h 54m,Ted Post,"Daniel Ford,Wendell Mayes","Burt Lancaster,Craig Wasson,Jonathan Goldsmith",6.6,"Drama,War"
1336,Goin' South,1978,1978,1h 45m,Jack Nicholson,"John Herman Shaner,Al Ramrus,Charles Shyer","Jack Nicholson,Mary Steenburgen,Christopher Lloyd",6.2,"Comedy,Romance,Western"
1337,Good Guys Wear Black,1978,1978,1h 35m,Ted Post,"Bruce Cohn,Mark Medoff,Joseph Fraley","Chuck Norris,Anne Archer,James Franciscus",5.1,Action
1338,Gray Lady Down,1978,1978,1h 51m,David Greene,"David Lavallee,James Whittaker,Howard Sackler","Charlton Heston,David Carradine,Stacy Keach",6.2,"Adventure,Drama,History"
1339,Grease,1978,1978,1h 50m,Randal Kleiser,"Jim Jacobs,Warren Casey,Bronte Woodard","John Travolta,Olivia Newton-John,Stockard Channing",7.2,"Comedy,Musical,Romance"
1340,The Great Bank Hoax,1978,1977,1h 27m,Joseph Jacoby,Joseph Jacoby,"Richard Basehart,Ned Beatty,Charlene Dallas",5.0,Comedy
1341,The Greek Tycoon,1978,1978,1h 47m,J. Lee Thompson,"Nico Mastorakis,Win Wells,Morton S. Fine","Anthony Quinn,Jacqueline Bisset,Raf Vallone",5.4,Drama
1342,Halloween,1978,1978,1h 31m,John Carpenter,"John Carpenter,Debra Hill","Donald Pleasence,Jamie Lee Curtis,Tony Moran",7.7,"Horror,Thriller"
1343,Harper Valley PTA,1978,1978,1h 33m,"Richard C. Bennett,Ralph Senensky","George Edwards,Barry Schneider","Barbara Eden,Ronny Cox,Nanette Fabray",5.8,Comedy
1344,Heaven Can Wait,1978,1943,1h 52m,Ernst Lubitsch,"Samson Raphaelson,Leslie Bush-Fekete","Gene Tierney,Don Ameche,Charles Coburn",7.4,"Comedy,Drama,Fantasy"
1345,Hi-Riders,1978,1978,1h 30m,Greydon Clark,Greydon Clark,"Mel Ferrer,Stephen McNally,Darby Hinton",5.1,"Action,Crime,Drama"
1346,High-Ballin',1978,1978,1h 37m,Peter Carter,"Paul F. Edwards,Richard Robinson,Stephen Schneck","Peter Fonda,Jerry Reed,Helen Shaver",5.4,"Action,Drama"
1347,Hooper,1978,1978,1h 39m,Hal Needham,"Thomas Rickman,Bill Kerby,Walt Green","Burt Reynolds,Jan-Michael Vincent,Sally Field",6.4,"Action,Comedy"
1348,Hot Lead and Cold Feet,1978,1978,1h 30m,Robert Butler,"Joseph L. McEveety,Arthur Alsberg,Don Nelson","Jim Dale,Darren McGavin,Karen Valentine",6.2,"Comedy,Western"
1349,House Calls,1978,1978,1h 38m,Howard Zieff,"Max Shulman,Julius J. Epstein,Alan Mandel","Walter Matthau,Glenda Jackson,Art Carney",6.7,"Comedy,Drama,Romance"
1350,I Spit on Your Grave,1978,2010,1h 48m,Steven R. Monroe,"Adam Rockoff,Meir Zarchi","Sarah Butler,Jeff Branson,Andrew Howard",6.3,"Horror,Thriller"
1351,I Wanna Hold Your Hand,1978,1978,1h 44m,Robert Zemeckis,"Robert Zemeckis,Bob Gale","Nancy Allen,Bobby Di Cicco,Marc McClure",6.9,"Comedy,Music,Romance"
1352,Ice Castles,1978,1978,1h 48m,Donald Wrye,"Donald Wrye,Gary L. Baim","Lynn-Holly Johnson,Robby Benson,Colleen Dewhurst",6.6,"Drama,Romance,Sport"
1353,If Ever I See You Again,1978,1978,1h 45m,Joseph Brooks,"Joseph Brooks,Martin Davidson","Michael Decker,Julie Gordon,Joseph Brooks",4.5,"Romance,Drama"
1354,Interiors,1978,1978,1h 32m,Woody Allen,Woody Allen,"Diane Keaton,Geraldine Page,Kristin Griffith",7.3,Drama
1355,International Velvet,1978,1978,2h 7m,Bryan Forbes,"Enid Bagnold,Bryan Forbes","Tatum O'Neal,Christopher Plummer,Anthony Hopkins",5.9,"Drama,Family,Sport"
1356,Invasion of the Body Snatchers,1978,1978,1h 55m,Philip Kaufman,"W.D. Richter,Jack Finney","Donald Sutherland,Brooke Adams,Jeff Goldblum",7.4,"Horror,Sci-Fi"
1357,Jaws 2,1978,1978,1h 56m,Jeannot Szwarc,"Peter Benchley,Carl Gottlieb,Howard Sackler","Roy Scheider,Lorraine Gary,Murray Hamilton",5.8,"Adventure,Horror,Thriller"
1358,Jennifer,1978,,,,,,,
1359,King of the Gypsies,1978,1978,1h 52m,Frank Pierson,"Peter Maas,Frank Pierson","Eric Roberts,Judd Hirsch,Susan Sarandon",6.3,Drama
1360,Laserblast,1978,1978,1h 25m,Michael Rae,"Franne Schacht,Frank Ray Perilli","Kim Milford,Cheryl Smith,Gianni Russo",2.7,"Horror,Sci-Fi"
1361,The Legacy,1978,,55m,,,,7.7,Drama
1362,The Lord of the Rings,1978,,,,,,,"Action,Adventure,Drama"
1363,Magic,1978,,,,,,,
1364,The Magic of Lassie,1978,1978,1h 40m,Don Chaffey,"Robert B. Sherman,Richard M. Sherman,Jean Holloway","James Stewart,Mickey Rooney,Pernell Roberts",5.7,"Drama,Family,Musical"
1365,The Manitou,1978,1978,1h 44m,William Girdler,"Graham Masterton,William Girdler,Jon Cedar","Tony Curtis,Susan Strasberg,Michael Ansara",5.3,"Horror,Sci-Fi"
1366,Mean Dog Blues,1978,1978,1h 48m,Mel Stuart,George Lefferts,"Gregg Henry,Kay Lenz,Scatman Crothers",6.1,"Action,Drama,Thriller"
1367,Midnight Express,1978,1978,2h 1m,Alan Parker,"Oliver Stone,Billy Hayes,William Hoffer","Brad Davis,Irene Miracle,Bo Hopkins",7.6,"Biography,Crime,Drama"
1368,Moment by Moment,1978,1978,1h 45m,Jane Wagner,Jane Wagner,"Lily Tomlin,John Travolta,Andra Akers",3.1,"Drama,Romance"
1369,Movie Movie,1978,1978,1h 45m,Stanley Donen,"Larry Gelbart,Sheldon Keller","George C. Scott,Trish Van Devere,Red Buttons",6.5,"Comedy,Musical,Sport"
1370,National Lampoon's Animal House,1978,1978,1h 49m,John Landis,"Harold Ramis,Douglas Kenney,Chris Miller","John Belushi,Karen Allen,Tom Hulce",7.5,Comedy
1371,A Night Full of Rain,1978,1978,1h 44m,Lina Wertmüller,Lina Wertmüller,"Giancarlo Giannini,Candice Bergen,Michael Tucker",6.1,"Drama,Romance"
1372,The Norseman,1978,1978,1h 30m,Charles B. Pierce,Charles B. Pierce,"Lee Majors,Cornel Wilde,Mel Ferrer",3.7,"Action,Adventure"
1373,Nunzio,1978,1978,1h 25m,Paul Williams,James Andronica,"David Proval,James Andronica,Morgana King",6.8,Drama
1374,Oliver's Story,1978,1978,1h 31m,John Korty,"Erich Segal,John Korty","Ryan O'Neal,Candice Bergen,Nicola Pagett",4.6,"Drama,Romance"
1375,Olly Olly Oxen Free,1978,2017,,,,,,Short
1376,The One and Only,1978,,,,,,9.1,"Drama,Romance"
1377,Out of the Darkness,1978,1958,1h 5m,Roger Corman,R. Wright Campbell,"Robert Vaughn,Darah Marshall,Leslie Bradley",3.5,"Adventure,Sci-Fi"
1378,Paradise Alley,1978,1978,1h 47m,Sylvester Stallone,Sylvester Stallone,"Sylvester Stallone,Lee Canalito,Armand Assante",5.8,Drama
1379,Piranha,1978,2010,1h 28m,Alexandre Aja,"Pete Goldfinger,Josh Stolberg","Elisabeth Shue,Jerry O'Connell,Richard Dreyfuss",5.4,"Comedy,Fantasy,Horror"
1380,Planet of Dinosaurs,1978,1977,1h 24m,James K. Shea,"Ralph Lucas,Jim Aupperle","Mary Appleseth,Harvey Shain,Derna Wylde",4.0,"Sci-Fi,Drama"
1381,Pretty Baby,1978,1978,1h 50m,Louis Malle,"Polly Platt,Louis Malle","Brooke Shields,Keith Carradine,Susan Sarandon",6.6,Drama
1382,Rabbit Test,1978,1978,1h 24m,Joan Rivers,"Joan Rivers,Jay Redack","Billy Crystal,Alex Rocco,Joan Prather",3.1,Comedy
1383,Record City,1978,1977,1h 30m,Dennis Steinmetz,Ron Friedman,"Joe Abdullah,Jeff Altman,Sylvia Anderson",4.8,Comedy
1384,Remember My Name,1978,1978,1h 34m,Alan Rudolph,Alan Rudolph,"Geraldine Chaplin,Anthony Perkins,Moses Gunn",6.3,"Drama,Thriller"
1385,Return from Witch Mountain,1978,1978,1h 35m,John Hough,"Malcolm Marmorstein,Alexander Key","Bette Davis,Christopher Lee,Kim Richards",5.9,"Adventure,Family,Fantasy"
1386,Revenge of the Pink Panther,1978,1978,1h 39m,Blake Edwards,"Frank Waldman,Ron Clark,Blake Edwards","Peter Sellers,Herbert Lom,Burt Kwouk",6.7,"Comedy,Crime,Mystery"
1387,"Same Time, Next Year",1978,1978,1h 59m,Robert Mulligan,Bernard Slade,"Alan Alda,Ellen Burstyn,Ivan Bonar",7.2,"Comedy,Drama,Romance"
1388,The Scenic Route,1978,1978,1h 16m,Mark Rappaport,Mark Rappaport,"Randy Danson,Marilyn Jones,Kevin Wade",6.9,Drama
1389,The Seniors,1978,1978,1h 27m,Rod Amateau,Stanley Shapiro,"Jeffrey Byron,Gary Imhoff,Dennis Quaid",4.2,Comedy
1390,Sextette,1978,1977,1h 31m,Ken Hughes,"Herbert Baker,Mae West","Mae West,Timothy Dalton,Dom DeLuise",3.7,"Comedy,Musical,Romance"
