,name,year,idbm_year,length,director_1,gender_director,writer_1,writer_2,writer_3,star_1,star_2,star_3,genre_1,genre_2,genre_3,rating
2753,Morgan Stewart's Coming Home,1987,1987,1h 36m,Paul Aaron,1,Ken Hixon,David N. Titcher,,Jon Cryer,Lynn Redgrave,JD Cullum,Comedy,,,5.5
2754,Mr. Nice Guy,1987,1997,1h 41m,Sammo Kam-Bo Hung,1,Fibe Ma,Edward Tang,,Jackie Chan,Richard Norton,Miki Lee,Action,Adventure,Comedy,6.2
2755,Munchies,1987,1987,1h 23m,Tina Hirsch,1,Lance Smith,,,Harvey Korman,Charlie Stratton,Nadine Van der Velde,Comedy,Fantasy,Horror,4.0
2756,My Best Friend's Birthday,1987,1987,1h 30m,Quentin Tarantino,1,Craig Hamann,Quentin Tarantino,,Craig Hamann,Quentin Tarantino,Crystal Shaw Martell,Comedy,,,5.6
2757,My Little Girl,1987,1986,1h 58m,Connie Kaiserman,1,Connie Kaiserman,Nan Mason,,James Earl Jones,Geraldine Page,Mary Stuart Masterson,Drama,,,4.7
2758,Nadine,1987,1987,1h 23m,Robert Benton,1,Robert Benton,,,Jeff Bridges,Kim Basinger,Rip Torn,Comedy,Mystery,Romance,5.6
2759,Near Dark,1987,1987,1h 34m,Kathryn Bigelow,0,Kathryn Bigelow,Eric Red,,Adrian Pasdar,Jenny Wright,Lance Henriksen,Action,Crime,Drama,7.0
2760,A Nightmare on Elm Street 3: Dream Warriors,1987,1987,1h 36m,Chuck Russell,1,Wes Craven,Bruce Wagner,Frank Darabont,Heather Langenkamp,Robert Englund,Craig Wasson,Fantasy,Horror,,6.6
2761,No Man's Land,1987,1997,1h 31m,Peter Cattaneo,1,Simon Beaufoy,,,Robert Carlyle,Tom Wilkinson,Mark Addy,Comedy,Drama,,7.2
2762,No Way Out,1987,1950,1h 46m,Joseph L. Mankiewicz,1,Joseph L. Mankiewicz,Lesser Samuels,Philip Yordan,Richard Widmark,Linda Darnell,Stephen McNally,Crime,Drama,Film-Noir,7.4
2763,North Shore,1987,,1h,,1,,,,,,,Drama,Romance,,6.8
2764,Nowhere to Hide,1987,1995,1h 36m,Michael Toshiyuki Uno,1,David J. Hill,,,Donna Mills,Corbin Bernsen,Allison Hossack,Drama,,,6.1
2765,Number One with a Bullet,1987,1987,1h 43m,Jack Smight,1,Gail Morgan Hickman,Andrew Kurtzman,Rob Riley,Robert Carradine,Billy Dee Williams,Valerie Bertinelli,Action,Crime,Thriller,4.8
2766,Nuts,1987,1987,1h 56m,Martin Ritt,1,Tom Topor,Darryl Ponicsan,Alvin Sargent,Barbra Streisand,Richard Dreyfuss,Maureen Stapleton,Drama,Thriller,,6.6
2767,O.C. and Stiggs,1987,1985,1h 49m,Robert Altman,1,Tod Carroll,Ted Mann,Donald Cantrell,Daniel Jenkins,Neill Barry,Jane Curtin,Comedy,Romance,,5.4
2768,On the Black Hill,1987,1988,,Andrew Grieve,1,Bruce Chatwin,Andrew Grieve,,Aled Baker,Rhys Baker,Iona Banks,Drama,,,6.5
2769,Orphans,1987,1987,1h 55m,Alan J. Pakula,1,Lyle Kessler,,,Albert Finney,Matthew Modine,Kevin Anderson,Drama,,,6.6
2770,Outrageous Fortune,1987,,TV-MATV-MA,,1,,,,,,,Comedy,Crime,Drama,8.3
2771,Over the Top,1987,1987,1h 33m,Menahem Golan,1,Gary Conway,David Engelbach,Stirling Silliphant,Sylvester Stallone,Robert Loggia,Susan Blakely,Action,Drama,Sport,5.8
2772,Overboard,1987,1987,1h 52m,Garry Marshall,1,Leslie Dixon,,,Goldie Hawn,Kurt Russell,Edward Herrmann,Comedy,Romance,,6.9
2773,The Pick-up Artist,1987,1987,1h 21m,James Toback,1,James Toback,,,Molly Ringwald,Robert Downey Jr.,Dennis Hopper,Comedy,Crime,Drama,5.3
2774,Pinocchio and the Emperor of the Night,1987,1987,1h 27m,Hal Sutherland,1,Robby London,Barry O'Brien,Dennis O'Flaherty,Ed Asner,Tom Bosley,Lana Beeson,Animation,Adventure,Family,6.6
2775,"Planes, Trains and Automobiles",1987,1987,1h 33m,John Hughes,1,John Hughes,,,Steve Martin,John Candy,Laila Robins,Comedy,Drama,,7.6
2776,Police Academy 4: Citizens on Patrol,1987,1987,1h 28m,Jim Drake,1,Neal Israel,Pat Proft,Gene Quintano,Steve Guttenberg,Bubba Smith,Michael Winslow,Comedy,Crime,,5.0
2777,Poor Little Rich Girl: The Barbara Hutton Story,1987,,4h 42m,Charles Jarrott,1,Dennis Turner,C. David Heymann,,Farrah Fawcett,David Ackroyd,Stéphane Audran,Biography,Drama,,7.0
2778,A Prayer for the Dying,1987,1987,1h 47m,Mike Hodges,1,Jack Higgins,Edmund Ward,Martin Lynch,Mickey Rourke,Bob Hoskins,Alan Bates,Action,Crime,Drama,6.3
2779,Predator,1987,1987,1h 47m,John McTiernan,1,Jim Thomas,John Thomas,,Arnold Schwarzenegger,Carl Weathers,Kevin Peter Hall,Action,Adventure,Horror,7.8
2780,Prince of Darkness,1987,1987,1h 42m,John Carpenter,1,John Carpenter,,,Donald Pleasence,Lisa Blount,Jameson Parker,Horror,,,6.7
2781,The Princess Bride,1987,1987,1h 38m,Rob Reiner,1,William Goldman,,,Cary Elwes,Mandy Patinkin,Robin Wright,Adventure,Family,Fantasy,8.1
2782,The Principal,1987,1987,1h 49m,Christopher Cain,1,Frank Deese,,,Jim Belushi,Louis Gossett Jr.,Rae Dawn Chong,Action,Crime,Drama,6.3
2783,Prison,1987,1987,1h 42m,Renny Harlin,1,Irwin Yablans,C. Courtney Joyner,Renny Harlin,Lane Smith,Viggo Mortensen,Chelsea Field,Crime,Drama,Horror,5.8
2784,Project X,1987,2012,1h 28m,Nima Nourizadeh,1,Matt Drake,Michael Bacall,,Thomas Mann,Oliver Cooper,Jonathan Daniel Brown,Comedy,,,6.7
2785,Promised Land,1987,,,,1,,,,,,,Drama,,,
2786,Radio Days,1987,1987,1h 28m,Woody Allen,1,Woody Allen,,,Mia Farrow,Dianne Wiest,Mike Starr,Comedy,,,7.5
2787,Raising Arizona,1987,1987,1h 34m,Joel Coen,1,Ethan Coen,Joel Coen,,Nicolas Cage,Holly Hunter,Trey Wilson,Comedy,Crime,,7.3
2788,Rampage,1987,2018,1h 47m,Brad Peyton,1,Ryan Engle,Carlton Cuse,Ryan J. Condal,Dwayne Johnson,Naomie Harris,Malin Akerman,Action,Adventure,Sci-Fi,6.1
2789,Real Men,1987,1987,1h 25m,Dennis Feldman,1,Dennis Feldman,,,Jim Belushi,John Ritter,Barbara Barrie,Action,Comedy,Sci-Fi,6.1
2790,Red's Dream,1987,1987,4m,John Lasseter,1,John Lasseter,,,Mel Blanc,,,Animation,Short,Family,6.3
2791,Redneck Zombies,1987,1989,1h 24m,Pericles Lewnes,1,Zoofeet,P. Floyd Piranha,Fester Smellman,Steve Sooy,Anthony M. Carr,Ken Davis,Comedy,Horror,,4.3
2792,Rent-a-Cop,1987,1987,1h 36m,Jerry London,1,Michael Blodgett,Dennis Shryack,,Burt Reynolds,Liza Minnelli,James Remar,Action,Comedy,Crime,4.6
2793,Return to Horror High,1987,1987,1h 35m,Bill Froehlich,1,Bill Froehlich,Mark Lisson,Dana Escalante,Lori Lethin,Brendan Hughes,Alex Rocco,Comedy,Horror,,4.3
2794,A Return to Salem's Lot,1987,1987,1h 41m,Larry Cohen,1,Stephen King,Larry Cohen,James Dixon,Michael Moriarty,Samuel Fuller,Ricky Addison Reed,Comedy,Horror,Thriller,4.3
2795,Revenge of the Nerds II: Nerds in Paradise,1987,1987,1h 28m,Joe Roth,1,Tim Metcalfe,Miguel Tejada-Flores,Steve Zacharias,Robert Carradine,Curtis Armstrong,Larry B. Scott,Comedy,,,5.1
2796,Right to Die,1987,,1h 30m,Paul Wendkos,1,Andrew H. Malcolm,Phil Penningroth,,Raquel Welch,Michael Gross,Bonnie Bartlett,Drama,,,6.7
2797,RoboCop,1987,1987,1h 42m,Paul Verhoeven,1,Edward Neumeier,Michael Miner,,Peter Weller,Nancy Allen,Dan O'Herlihy,Action,Crime,Sci-Fi,7.6
2798,The Rosary Murders,1987,1987,1h 45m,Fred Walton,1,William X. Kienzle,Elmore Leonard,Fred Walton,Donald Sutherland,Charles Durning,Belinda Bauer,Crime,Drama,Mystery,5.8
2799,Roxanne,1987,1987,1h 47m,Fred Schepisi,1,Edmond Rostand,Steve Martin,,Steve Martin,Daryl Hannah,Rick Rossovich,Comedy,Romance,,6.6
2800,RuPaul Is: Starbooty!,1987,,,,1,,,,,,,,,,
2801,The Running Man,1987,,,,1,,,,,,,,,,
2802,Russkies,1987,1987,1h 39m,Rick Rosenthal,1,Sheldon Lettich,Alan Jay Glueckman,Michael Nankin,Whip Hubley,Joaquin Phoenix,Peter Billingsley,Drama,,,5.6
2803,Salvation!,1987,1987,1h 20m,Beth B,0,Beth B,Tom Robinson,,Stephen McHattie,Dominique Davalos,Exene Cervenka,Comedy,,,6.0
2804,Scooby-Doo Meets the Boo Brothers,1987,,Not RatedNot Rated,Paul Sommer,1,Jim Ryan,,,Don Messick,Casey Kasem,Sorrell Booke,Animation,Adventure,Comedy,7.1
2805,The Secret of My Succe$s,1987,1987,1h 51m,Herbert Ross,1,Jim Cash,Jack Epps Jr.,AJ Carothers,Michael J. Fox,Helen Slater,Richard Jordan,Comedy,Romance,,6.5
2806,September,1987,2006,2h 9m,Oliver Stone,1,Andrea Berloff,John McLoughlin,Donna McLoughlin,Nicolas Cage,Michael Peña,Maria Bello,Drama,History,Thriller,5.9
2807,Shake! Otis at Monterey,1987,1987,,,1,,,,,,,Documentary,Short,Music,7.9
2808,Shy People,1987,1987,1h 58m,Andrey Konchalovskiy,1,Andrey Konchalovskiy,Gérard Brach,Marjorie David,Jill Clayburgh,Barbara Hershey,Martha Plimpton,Drama,,,6.8
2809,The Sicilian,1987,1987,1h 55m,Michael Cimino,1,Mario Puzo,Steve Shagan,Gore Vidal,Christopher Lambert,Terence Stamp,Joss Ackland,Action,Crime,Drama,5.4
2810,Siesta,1987,1987,1h 37m,Mary Lambert,0,Patrice Chaplin,Patricia Louisianna Knop,,Ellen Barkin,Gabriel Byrne,Julian Sands,Drama,Mystery,Romance,5.6
2811,Sign o' the Times,1987,,,Timothy Van Patten,1,Dick Wolf,Kevin Arkadie,Darin Goldberg,Malik Yoba,Luna Lauren Velez,Marisa Ryan,Crime,Drama,,7.3
2812,"Silent Night, Deadly Night Part 2",1987,1987,1h 28m,Lee Harry,1,Michael Hickey,Paul Caimi,Lee Harry,Eric Freeman,James Newman,Elizabeth Kaitan,Horror,Thriller,,3.8
2813,"Sister, Sister",1987,,TV-GTV-G,,1,,,,,,,Comedy,Drama,Family,6.3
2814,Slam Dance,1987,1987,1h 32m,Wayne Wang,1,Don Keith Opper,,,Tom Hulce,Mary Elizabeth Mastrantonio,Virginia Madsen,Crime,Drama,Mystery,5.3
2815,Slumber Party Massacre II,1987,1987,1h 17m,Deborah Navarra-Brock,1,Deborah Navarra-Brock,,,Crystal Bernard,Jennifer Rhodes,Kimberly McArthur,Comedy,Horror,Music,4.7
2816,Snow White,1987,2012,2h 7m,Rupert Sanders,1,Evan Daugherty,John Lee Hancock,Hossein Amini,Kristen Stewart,Chris Hemsworth,Charlize Theron,Action,Adventure,Drama,6.1
2817,Some Kind of Wonderful,1987,1987,1h 35m,Howard Deutch,1,John Hughes,,,Eric Stoltz,Mary Stuart Masterson,Lea Thompson,Drama,Romance,,7.1
2818,Someone to Love,1987,1987,1h 51m,Henry Jaglom,1,Henry Jaglom,,,Henry Jaglom,Andrea Marcovicci,Michael Emil,Comedy,Drama,Romance,5.9
2819,Someone to Watch Over Me,1987,1987,1h 46m,Ridley Scott,1,Howard Franklin,Danilo Bach,David Seltzer,Tom Berenger,Mimi Rogers,Lorraine Bracco,Crime,Drama,Romance,6.1
2820,Sorority House Massacre,1987,1986,1h 14m,Carol Frank,1,Carol Frank,,,Angela O'Neill,Wendy Martel,Pamela Ross,Horror,,,4.5
2821,Spaceballs,1987,1987,1h 36m,Mel Brooks,1,Mel Brooks,Thomas Meehan,Ronny Graham,Mel Brooks,John Candy,Rick Moranis,Adventure,Comedy,Sci-Fi,7.1
2822,Square Dance,1987,1987,1h 52m,Daniel Petrie,1,Alan Hines,,,Jason Robards,Jane Alexander,Winona Ryder,Drama,Romance,,5.9
2823,The Squeeze,1987,1987,1h 41m,Roger Young,1,Daniel Taplitz,,,Michael Keaton,Rae Dawn Chong,Ric Abernathy,Action,Comedy,Crime,4.7
2824,Stakeout,1987,1987,1h 57m,John Badham,1,Jim Kouf,,,Richard Dreyfuss,Emilio Estevez,Madeleine Stowe,Action,Comedy,Crime,6.6
2825,Steel Dawn,1987,1987,1h 41m,Lance Hool,1,Doug Lefler,,,Patrick Swayze,Lisa Niemi,Anthony Zerbe,Action,Adventure,Sci-Fi,5.2
2826,The Stepfather,1987,2009,1h 41m,Nelson McCormick,1,J.S. Cardone,Donald E. Westlake,Carolyn Lefcourt,Penn Badgley,Dylan Walsh,Sela Ward,Crime,Thriller,,5.6
2827,Still Crazy Like a Fox,1987,,Not RatedNot Rated,Paul Krasny,1,George Schenck,Frank Cardea,Roger Shulman,Jack Warden,John Rubinstein,Penny Peyser,Drama,Thriller,,6.6
2828,Straight to Hell,1987,1984,1h 30m,Ruggero Deodato,1,Cesare Frugoni,Dardano Sacchetti,Luciano Vincenzoni,Lisa Blount,Leonard Mann,Willie Aames,Adventure,Horror,Thriller,5.7
2829,The Stranger,1987,,TV-MATV-MA,,1,,,,,,,Crime,Drama,Mystery,7.3
2830,Street Smart,1987,1987,1h 37m,Jerry Schatzberg,1,David Freeman,,,Christopher Reeve,Kathy Baker,Mimi Rogers,Crime,Drama,Thriller,6.4
2831,Street Trash,1987,1987,1h 31m,J. Michael Muro,1,Roy Frumkes,J. Michael Muro,,Mike Lackey,Bill Chepil,Vic Noto,Comedy,Horror,,6.1
2832,Succumbs,1987,,50m,,1,,,,,,,Music,,,8.2
2833,Summer Heat,1987,,,,1,,,,,,,Drama,Romance,,
2834,Summer School,1987,1987,1h 37m,Carl Reiner,1,Stuart Birnbaum,David Dashev,Jeff Franklin,Mark Harmon,Kirstie Alley,Robin Thomas,Comedy,Romance,,6.6
2835,Superman IV: The Quest for Peace,1987,1987,1h 30m,Sidney J. Furie,1,Jerry Siegel,Joe Shuster,Christopher Reeve,Christopher Reeve,Gene Hackman,Margot Kidder,Action,Adventure,Sci-Fi,3.7
2836,Superstar: The Karen Carpenter Story,1987,1987,43m,Todd Haynes,1,Cynthia Schneider,Todd Haynes,,Merrill Gruver,Michael Edwards,Melissa Brown,Short,Biography,Drama,7.8
2837,Surf Nazis Must Die,1987,1987,1h 23m,Peter George,1,Jon Ayre,Peter George,,Gail Neely,Robert Harden,Barry Brenner,Action,Comedy,Drama,3.8
2838,Surrender,1987,1987,1h 45m,Jerry Belson,1,Jerry Belson,,,Sally Field,Michael Caine,Steve Guttenberg,Comedy,,,5.4
2839,Suspect,1987,2013,1h 45m,Scott Walker,1,Scott Walker,,,Nicolas Cage,Vanessa Hudgens,John Cusack,Crime,Thriller,,6.4
2840,Sweet Country,1987,2017,1h 53m,Warwick Thornton,1,David Tranter,Steven McGregor,,Hamilton Morris,Shanika Cole,Ewen Leslie,Adventure,Crime,Drama,6.9
2841,Sweet Revenge,1987,2014,1h 49m,Nick Cassavetes,1,Melissa K. Stack,,,Cameron Diaz,Leslie Mann,Kate Upton,Comedy,Romance,,6.0
2842,Swimming to Cambodia,1987,1987,1h 25m,Jonathan Demme,1,Spalding Gray,,,Spalding Gray,Sam Waterston,Ira Wheeler,Comedy,Drama,,7.6
2843,Teen Wolf Too,1987,1987,1h 35m,Christopher Leitch,1,Jeph Loeb,Matthew Weisman,Tim Kring,Jason Bateman,Kim Darby,John Astin,Comedy,Fantasy,,3.4
2844,Terminus,1987,1987,1h 55m,Pierre-William Glenn,1,Pierre-William Glenn,Patrice Duvic,Alain Gillot,Karen Allen,Jürgen Prochnow,Johnny Hallyday,Sci-Fi,,,3.3
2845,Terror Squad,1987,,,,1,,,,,,,,,,
2846,They Still Call Me Bruce,1987,1987,1h 31m,James Orr,1,Johnny Yune,James Orr,Ross Jeffries,Johnny Yune,David Mendenhall,Pat Paulsen,Comedy,,,4.8
2847,Three Men and a Baby,1987,1987,1h 42m,Leonard Nimoy,1,Coline Serreau,James Orr,Jim Cruickshank,Tom Selleck,Steve Guttenberg,Ted Danson,Comedy,Drama,Family,6.1
2848,Three O'Clock High,1987,1987,1h 37m,Phil Joanou,1,Richard Christian Matheson,Tom Szollosi,,Casey Siemaszko,Annie Ryan,Richard Tyson,Comedy,,,7.1
2849,Three for the Road,1987,1987,1h 28m,Bill Norton,1,Richard Martini,Tim Metcalfe,Miguel Tejada-Flores,Charlie Sheen,Kerri Green,Alan Ruck,Drama,Comedy,,5.3
2850,Throw Momma from the Train,1987,1987,1h 28m,Danny DeVito,1,Stu Silver,,,Danny DeVito,Billy Crystal,Kim Greist,Comedy,Crime,Thriller,6.3
2851,Thunder Prince,1987,1982,,,1,,,,,,,Animation,Action,,5.7
2852,A Tiger's Tale,1987,1987,1h 37m,Peter Douglas,1,Peter Douglas,Allen Hannay III,,Ann-Margret,C. Thomas Howell,Charles Durning,Comedy,Drama,,5.4
2853,Tigershark,1987,1987,1h 38m,Emmett Alston,1,Ivan Rogers,Mike Stone,,Mike Stone,John Quade,Pamela Jean Bryant,Action,,,3.8
2854,Tin Men,1987,1987,1h 52m,Barry Levinson,1,Barry Levinson,,,Richard Dreyfuss,Danny DeVito,Barbara Hershey,Comedy,Drama,,6.6
2855,Tough Guys Don't Dance,1987,1987,1h 50m,Norman Mailer,1,Norman Mailer,Robert Towne,,Ryan O'Neal,Isabella Rossellini,Debra Stipe,Comedy,Crime,Drama,4.8
2856,The Trouble with Spies,1987,1987,1h 31m,Burt Kennedy,1,Burt Kennedy,Mark McShane,,Donald Sutherland,Ned Beatty,Ruth Gordon,Action,Adventure,Comedy,4.3
2857,Uncle Meat,1987,,,,1,,,,,,,,,,
2858,The Untouchables,1987,1987,1h 59m,Brian De Palma,1,David Mamet,Oscar Fraley,Eliot Ness,Kevin Costner,Sean Connery,Robert De Niro,Crime,Drama,Thriller,7.9
2859,The Video Dead,1987,,RR,Robert Scott,1,Robert Scott,,,Michael St. Michaels,Thaddeus Golas,Douglass Bell,Horror,,,5.1
2860,Video from Hell,1987,,1h,Frank Zappa,1,Frank Zappa,,,Phyllis Smith Altenhaus,Dick Barber,Adrian Belew,Music,,,8.6
2861,Waiting for the Moon,1987,2017,,Michio Koshikawa,1,Kazumi Saeki,Michio Koshikawa,,Arata Iura,Orime Amagi,Mei Kurokawa,Mystery,,,3.7
2862,Walker,1987,,TV-14TV-14,,1,,,,,,,Action,Crime,Drama,6.1
2863,Wall Street,1987,1987,2h 6m,Oliver Stone,1,Stanley Weiser,Oliver Stone,,Charlie Sheen,Michael Douglas,Tamara Tunie,Crime,Drama,,7.4
2864,Wanted: Dead or Alive,1987,,TV-PGTV-PG,,1,,,,,,,Western,,,8.1
2865,Weeds,1987,,TV-MATV-MA,,1,,,,,,,Comedy,Crime,Drama,7.9
2866,The Whales of August,1987,1987,1h 30m,Lindsay Anderson,1,David Berry,,,Bette Davis,Lillian Gish,Vincent Price,Drama,,,7.3
2867,White of the Eye,1987,1987,1h 50m,Donald Cammell,1,China Kong,Donald Cammell,Andrew Klavan,David Keith,Cathy Moriarty,Alan Rosenberg,Horror,Thriller,,6.2
2868,White Water Summer,1987,1987,1h 30m,Jeff Bleckner,1,Manya Starr,Ernest Kinoy,,Kevin Bacon,Sean Astin,Jonathan Ward,Adventure,Drama,,6.2
2869,Who's That Girl,1987,1987,1h 32m,James Foley,1,Andrew Smith,Ken Finkleman,,Madonna,Griffin Dunne,Haviland Morris,Comedy,Music,Romance,4.8
2870,Wild Thing,1987,1987,1h 32m,Max Reid,1,Larry Stamper,John Sayles,,Robert Knepper,Kathleen Quinlan,Robert Davi,Action,Drama,Thriller,5.3
2871,The Witches of Eastwick,1987,1987,1h 58m,George Miller,1,John Updike,Michael Cristofer,,Jack Nicholson,Cher,Susan Sarandon,Comedy,Fantasy,Horror,6.6
2872,The Worst of Faces of Death,1987,1987,1h,John Alan Schwartz,1,John Alan Schwartz,,,Michael Carr,,,Documentary,Horror,,3.4
2873,Yogi's Great Escape,1987,,Not RatedNot Rated,Bob Goe,1,Neal Barbera,,,Daws Butler,Susan Blu,William Callaway,Animation,Adventure,,6.6
2874,You Ruined My Life,1987,,1h 40m,David Ashwell,1,Robin Swicord,,,Soleil Moon Frye,Paul Reiser,Mimi Rogers,Adventure,Drama,Family,5.9
2875,Zombie High,1987,1987,1h 33m,Ron Link,1,Tim Doyle,Aziz Ghazal,Elizabeth Passarelli,Virginia Madsen,Richard Cox,Kay E. Kuter,Comedy,Horror,,4.2
2876,18 Again!,1988,1988,1h 33m,Paul Flaherty,1,Josh Goldstein,Jonathan Prince,,Charlie Schlatter,George Burns,Tony Roberts,Comedy,Fantasy,Romance,5.8
2877,1969,1988,1988,1h 35m,Ernest Thompson,1,Ernest Thompson,,,Robert Downey Jr.,Kiefer Sutherland,Bruce Dern,Drama,War,,5.8
2878,'68,1988,1988,1h 39m,Steven Kovacs,1,Steven Kovacs,,,Eric Larson,Robert Locke,Neil Young,Drama,,,5.9
2879,Above the Law,1988,1988,1h 39m,Andrew Davis,1,Andrew Davis,Steven Seagal,Steven Pressfield,Steven Seagal,Pam Grier,Henry Silva,Action,Crime,Drama,6.0
2880,The Accidental Tourist,1988,1988,2h 1m,Lawrence Kasdan,1,Anne Tyler,Frank Galati,Lawrence Kasdan,William Hurt,Kathleen Turner,Geena Davis,Drama,Romance,,6.8
2881,The Accused,1988,1988,1h 51m,Jonathan Kaplan,1,Tom Topor,,,Kelly McGillis,Jodie Foster,Bernie Coulson,Crime,Drama,,7.2
2882,Action Jackson,1988,1988,1h 36m,Craig R. Baxley,1,Robert Reneau,,,Carl Weathers,Craig T. Nelson,Vanity,Action,Comedy,Crime,5.5
2883,After Death,1988,2004,1h 31m,Philippe Martinez,1,Mick Davis,Laurent Fellous,Kristina Hamilton-Grobler,Jean-Claude Van Damme,Simon Yam,Philip Tan,Action,Adventure,Drama,5.6
2884,Alien Nation,1988,1988,1h 31m,Graham Baker,1,Rockne S. O'Bannon,,,James Caan,Mandy Patinkin,Terence Stamp,Action,Sci-Fi,,6.3
2885,Alien from L.A.,1988,1988,1h 27m,Albert Pyun,1,Judith Berg,Sandra Berg,Albert Pyun,Kathy Ireland,William R. Moses,Richard Haines,Adventure,Comedy,Sci-Fi,3.0
2886,American Gothic,1988,,TV-PGTV-PG,,1,,,,,,,Drama,Horror,Thriller,8.1
2887,And God Created Woman,1988,1956,1h 35m,Roger Vadim,1,Roger Vadim,Raoul Lévy,,Brigitte Bardot,Curd Jürgens,Jean-Louis Trintignant,Drama,Romance,,6.3
2888,And the Violins Stopped Playing,1988,1988,,Alexander Ramati,1,Alexander Ramati,,,Horst Buchholz,Didi Ramati,Piotr Polk,Biography,Drama,War,6.8
2889,Another Woman,1988,1988,1h 21m,Woody Allen,1,Woody Allen,,,Gena Rowlands,Mia Farrow,Ian Holm,Drama,,,7.3
2890,Appointment With Death,1988,1988,1h 42m,Michael Winner,1,Agatha Christie,Anthony Shaffer,Peter Buckman,Peter Ustinov,Lauren Bacall,Carrie Fisher,Crime,Drama,Mystery,6.2
2891,The Appointments of Dennis Jennings,1988,1988,,Dean Parisot,1,Steven Wright,Mike Armstrong,,Steven Wright,Rowan Atkinson,Laurie Metcalf,Comedy,Short,,7.2
2892,Arthur 2: On the Rocks,1988,1988,1h 53m,Bud Yorkin,1,Steve Gordon,Andy Breckman,,Dudley Moore,Liza Minnelli,John Gielgud,Comedy,Romance,,4.6
2893,Baby M,1988,,Not RatedNot Rated,,1,,,,,,,Biography,Drama,,6.6
2894,Bad Dreams,1988,2020,1h 45m,Anthony Scott Burns,1,Anthony Scott Burns,Daniel Weissenberger,,Julia Sarah Stone,Landon Liboiron,Carlee Ryski,Horror,Sci-Fi,,6.0
2895,Bat*21,1988,1988,1h 45m,Peter Markle,1,William C. Anderson,George Gordon,,Gene Hackman,Danny Glover,Jerry Reed,Drama,War,,6.5
2896,Beaches,1988,1988,2h 3m,Garry Marshall,1,Iris Rainer,Mary Agnes Donoghue,,Bette Midler,Barbara Hershey,John Heard,Comedy,Drama,Music,7.0
2897,The Beast,1988,,,,1,,,,,,,,,,
2898,Beetlejuice,1988,1988,1h 32m,Tim Burton,1,Michael McDowell,Larry Wilson,Warren Skaaren,Alec Baldwin,Geena Davis,Michael Keaton,Comedy,Fantasy,,7.5
2899,Betrayed,1988,2020,,Eirik Svensson,1,Lars Gudmestad,Harald Rosenløw-Eeg,,Johannes Blåsternes,Nicolai Cleve Broch,Axel Bøyum,Drama,History,War,7.2
2900,Big,1988,1988,1h 44m,Penny Marshall,0,Gary Ross,Anne Spielberg,,Tom Hanks,Elizabeth Perkins,Robert Loggia,Comedy,Drama,Fantasy,7.3
2901,The Big Blue,1988,1988,2h 48m,Luc Besson,1,Luc Besson,Robert Garland,Marilyn Goldin,Jean-Marc Barr,Jean Reno,Rosanna Arquette,Adventure,Drama,Sport,7.6
2902,Big Business,1988,1988,1h 37m,Jim Abrahams,1,Dori Pierson,Marc Reid Rubel,,Bette Midler,Lily Tomlin,Fred Ward,Comedy,,,6.4
2903,Big Time,1988,1995,1h 37m,Peter Segal,1,Bonnie Turner,Terry Turner,,Chris Farley,David Spade,Brian Dennehy,Adventure,Comedy,,7.1
2904,Big Top Pee-wee,1988,1988,1h 26m,Randal Kleiser,1,Paul Reubens,George McGrath,,Paul Reubens,Penelope Ann Miller,Kris Kristofferson,Adventure,Comedy,Romance,5.1
2905,Biloxi Blues,1988,1988,1h 46m,Mike Nichols,1,Neil Simon,,,Matthew Broderick,Christopher Walken,Matt Mulhern,Comedy,Drama,,6.6
2906,Bird,1988,,,,1,,,,,,,,,,
2907,Black Eagle,1988,1988,1h 33m,Eric Karson,1,A.E. Peters,Michael Gonzales,Shimon Arama,Shô Kosugi,Jean-Claude Van Damme,Doran Clark,Action,Drama,,3.9
2908,Black Roses,1988,1988,1h 30m,John Fasano,1,Cindy Cirile,,,John Martin,Ken Swofford,Sal Viviano,Horror,Music,,5.1
2909,The Blob,1988,1988,1h 35m,Chuck Russell,1,Theodore Simonson,Kay Linaker,Irvine H. Millgate,Shawnee Smith,Kevin Dillon,Donovan Leitch Jr.,Horror,Sci-Fi,Thriller,6.6
2910,Blood Orgy of the Leather Girls,1988,1988,,Meredith Lucas,1,Sarah Dicken,Meredith Lucas,,Phillip Silverstein,Simoone Margolis,Melissa Lawrence,Comedy,Crime,Drama,5.8
2911,Bloodsport,1988,1988,1h 32m,Newt Arnold,1,Sheldon Lettich,Christopher Cosby,Mel Friedman,Jean-Claude Van Damme,Donald Gibb,Leah Ayres,Action,Biography,Drama,6.8
2912,Bloodstone,1988,1996,1h 41m,Ringo Lam,1,Larry Ferguson,,,Jean-Claude Van Damme,Natasha Henstridge,Jean-Hugues Anglade,Action,Thriller,,5.5
2913,The Blue Iguana,1988,1988,1h 30m,John Lafia,1,John Lafia,,,Dylan McDermott,Jessica Harper,James Russo,Action,Comedy,Mystery,5.2
2914,The Boost,1988,1988,1h 35m,Harold Becker,1,Ben Stein,Darryl Ponicsan,,James Woods,Sean Young,John Kapelos,Drama,Romance,,6.1
2915,The Bourne Identity,1988,2002,1h 59m,Doug Liman,1,Tony Gilroy,W. Blake Herron,Robert Ludlum,Franka Potente,Matt Damon,Chris Cooper,Action,Mystery,Thriller,7.9
