,name,year,Length Of Movie (minute),idbm_year,gender_director,director_1,writer_1,writer_2,writer_3,star_1,star_2,star_3,genre_1,genre_2,genre_3,rating
787,The Happy Hooker,1975,96.0,1975,1,Nicholas Sgarro,Yvonne Dunleavy,Xaviera Hollander,Robin Moore,Lynn Redgrave,Jean-Pierre Aumont,Lovelady Powell,Biography,Comedy,,3.6
788,Hard Times,1975,94.0,2009,1,Tom Reeve,Michael O'Mahony,,,John Lynch,Cornelius Clarke,Lochlann O'Mearáin,Comedy,Crime,,5.9
789,Hearts of the West,1975,102.0,1975,1,Howard Zieff,Rob Thompson,,,Jeff Bridges,Andy Griffith,Donald Pleasence,Western,Comedy,,6.5
790,Hester Street,1975,89.0,1975,0,Joan Micklin Silver,Joan Micklin Silver,Abraham Cahan,,Steven Keats,Carol Kane,Mel Howard,Drama,Romance,,7.0
791,The Hiding Place,1975,150.0,1975,1,James F. Collier,Corrie Ten Boom,John Sherrill,Elizabeth Sherrill,Julie Harris,Jeannette Clift,Arthur O'Connell,Biography,Drama,History,7.5
792,The Hindenburg,1975,125.0,1975,1,Robert Wise,Richard Levinson,William Link,Michael M. Mooney,George C. Scott,Anne Bancroft,William Atherton,Adventure,Drama,History,6.3
793,The Intruder,1975,102.0,2019,1,Deon Taylor,David Loughery,,,Michael Ealy,Meagan Good,Dennis Quaid,Thriller,,,5.6
794,I Wonder Who's Killing Her Now?,1975,87.0,1975,1,Steven Hilliard Stern,Mickey Rose,Jerry Cutler,,Bob Dishy,Joanna Barnes,Bill Dana,Comedy,Crime,,3.5
795,Jaws,1975,124.0,1975,1,Steven Spielberg,Peter Benchley,Carl Gottlieb,,Roy Scheider,Robert Shaw,Richard Dreyfuss,Adventure,Thriller,,8.0
796,Johnny Firecloud,1975,99.0,1975,1,William Allen Castleman,Wilton Denmark,,,Victor Mohica,Ralph Meeker,David Canary,Crime,Drama,Thriller,6.4
797,The Killer Elite,1975,122.0,1975,1,Sam Peckinpah,Marc Norman,Stirling Silliphant,Robert Syd Hopkins,James Caan,Robert Duvall,Arthur Hill,Action,Crime,Thriller,6.0
798,Lady Cocoa,1975,93.0,1975,1,Matt Cimber,Mikel Angel,,,Lola Falana,Gene Washington,Alex Dreier,Crime,Drama,,4.8
799,Las Vegas Lady,1975,87.0,1975,1,Noel Nosseck,Walter Dallenbach,,,Stella Stevens,Stuart Whitman,George DiCenzo,Crime,Drama,,4.5
800,Lepke,1975,110.0,1975,1,Menahem Golan,Wesley Lau,Tamar Simon Hoffs,,Tony Curtis,Anjanette Comer,Michael Callan,Biography,Drama,,5.6
801,Let's Do It Again,1975,110.0,1975,1,Sidney Poitier,Richard Wesley,Timothy March,,Sidney Poitier,Bill Cosby,Calvin Lockhart,Action,Comedy,Crime,6.9
802,Lucky Lady,1975,118.0,1975,1,Stanley Donen,Willard Huyck,Gloria Katz,,Gene Hackman,Liza Minnelli,Burt Reynolds,Comedy,Crime,Drama,5.3
803,Mackintosh and T.J.,1975,96.0,1975,1,Marvin J. Chomsky,Paul Savage,Dick Dragonette,Marshal Riggan,Roy Rogers,Clay O'Brien,Joan Hackett,Drama,Western,,6.5
804,Man Friday,1975,115.0,1975,1,Jack Gold,Daniel Defoe,Adrian Mitchell,,Peter O'Toole,Richard Roundtree,Peter Cellier,Adventure,Drama,,6.3
805,The Man in the Glass Booth,1975,117.0,1975,1,Arthur Hiller,Edward Anhalt,Robert Shaw,,Maximilian Schell,Lois Nettleton,Lawrence Pressman,Drama,,,7.1
806,The Man Who Would Be King,1975,129.0,1975,1,John Huston,John Huston,Gladys Hill,Rudyard Kipling,Sean Connery,Michael Caine,Christopher Plummer,Adventure,History,War,7.8
807,The Manchu Eagle Murder Caper Mystery,1975,80.0,1975,1,Dean Hargrove,Dean Hargrove,Gabriel Dell,,Gabriel Dell,Will Geer,Anjanette Comer,Comedy,Mystery,Crime,5.9
808,Mandingo,1975,127.0,1975,1,Richard Fleischer,Kyle Onstott,Jack Kirkland,Norman Wexler,James Mason,Susan George,Perry King,Drama,History,Romance,6.3
809,The Master Gunfighter,1975,121.0,1975,1,Tom Laughlin,Tom Laughlin,,,Tom Laughlin,Ron O'Neal,Lincoln Kilpatrick,Drama,Western,,4.7
810,Moonrunners,1975,110.0,1975,1,Gy Waldron,Gy Waldron,,,James Mitchum,Kiel Martin,Arthur Hunnicutt,Action,Comedy,,6.1
811,Mr. Ricco,1975,98.0,1975,1,Paul Bogart,Robert Hoban,Ed Harvey,Francis Kiernan,Dean Martin,Eugene Roche,Thalmus Rasulala,Crime,Drama,Thriller,5.8
812,Mr. Sycamore,1975,87.0,1975,1,Pancho Kohner,Ketti Frings,Pancho Kohner,Robert Ayre,Jason Robards,Sandy Dennis,Jean Simmons,Comedy,Drama,Fantasy,5.5
813,Murph the Surf,1975,101.0,1975,1,Marvin J. Chomsky,E. Arthur Kean,Allan Dale Kuhn,,Robert Conrad,Don Stroud,Donna Mills,Biography,Comedy,Crime,6.2
814,Night Moves,1975,100.0,1975,1,Arthur Penn,Alan Sharp,,,Gene Hackman,Jennifer Warren,Edward Binns,Crime,Drama,Mystery,7.1
815,Once Is Not Enough,1975,121.0,1975,1,Guy Green,Julius J. Epstein,Jacqueline Susann,,Kirk Douglas,Alexis Smith,David Janssen,Drama,Romance,,4.6
816,One Flew Over the Cuckoo's Nest,1975,133.0,1975,1,Milos Forman,Lawrence Hauben,Bo Goldman,Ken Kesey,Jack Nicholson,Louise Fletcher,Michael Berryman,Drama,,,8.7
817,One of Our Dinosaurs Is Missing,1975,94.0,1975,1,Robert Stevenson,Bill Walsh,David Forrest,,Peter Ustinov,Helen Hayes,Derek Nimmo,Adventure,Comedy,Family,6.0
818,Operation Daybreak,1975,118.0,1975,1,Lewis Gilbert,Alan Burgess,Ronald Harwood,,Timothy Bottoms,Martin Shaw,Joss Ackland,Drama,History,War,7.0
819,The Other Side of the Mountain,1975,102.0,1975,1,Larry Peerce,E.G. Valens,David Seltzer,,Marilyn Hassett,Beau Bridges,Belinda Montgomery,Biography,Drama,Romance,6.4
820,Peeper,1975,87.0,1975,1,Peter Hyams,Keith Laumer,W.D. Richter,,Michael Caine,Natalie Wood,Kitty Winn,Comedy,Crime,Mystery,5.7
821,Permission to Kill,1975,93.0,1975,1,Cyril Frankel,Robin Estridge,,,Dirk Bogarde,Ava Gardner,Bekim Fehmiu,Drama,Thriller,,5.7
822,Poor Pretty Eddie,1975,92.0,1975,1,David Worth,B.W. Sandefur,Jean Genet,,Leslie Uggams,Shelley Winters,Michael Christian,Crime,Horror,Thriller,5.6
823,Posse,1975,73.0,1953,1,Alfred L. Werker,Seymour Bennett,Connie Lee,Kenneth Gamet,Broderick Crawford,John Derek,Charles Bickford,Western,,,6.6
824,The Prisoner of Second Avenue,1975,98.0,1975,1,Melvin Frank,Neil Simon,,,Jack Lemmon,Anne Bancroft,Gene Saks,Comedy,,,6.7
825,Psychic Killer,1975,89.0,1975,1,Ray Danton,Greydon Clark,Mikel Angel,Ray Danton,Paul Burke,Jim Hutton,Julie Adams,Horror,Thriller,,5.4
826,Race with the Devil,1975,88.0,1975,1,Jack Starrett,Lee Frost,Wes Bishop,,Peter Fonda,Warren Oates,Loretta Swit,Action,Horror,Thriller,6.6
827,Rafferty and the Gold Dust Twins,1975,91.0,1975,1,Dick Richards,John Kaye,,,Alan Arkin,Sally Kellerman,Mackenzie Phillips,Comedy,Drama,,6.4
828,Rancho Deluxe,1975,93.0,1975,1,Frank Perry,Thomas McGuane,,,Jeff Bridges,Sam Waterston,Elizabeth Ashley,Comedy,Romance,Western,6.3
829,The Reincarnation of Peter Proud,1975,105.0,1975,1,J. Lee Thompson,Max Ehrlich,,,Michael Sarrazin,Jennifer O'Neill,Margot Kidder,Horror,Mystery,,6.5
830,Return to Macon County,1975,90.0,1975,1,Richard Compton,Richard Compton,,,Nick Nolte,Don Johnson,Robin Mattson,Drama,,,5.6
831,Rollerball,1975,125.0,1975,1,Norman Jewison,William Harrison,,,James Caan,John Houseman,Maud Adams,Action,Sci-Fi,Sport,6.6
832,Rooster Cogburn,1975,108.0,1975,1,Stuart Millar,Charles Portis,Martha Hyer,,John Wayne,Katharine Hepburn,Anthony Zerbe,Adventure,Drama,Western,6.9
833,Rosebud,1975,126.0,1975,1,Otto Preminger,Erik Lee Preminger,Joan Hemingway,Paul Bonnecarrère,Peter O'Toole,Richard Attenborough,Cliff Gorman,Action,Adventure,Drama,5.1
834,Shampoo,1975,110.0,1975,1,Hal Ashby,Robert Towne,Warren Beatty,,Warren Beatty,Julie Christie,Goldie Hawn,Comedy,Drama,,6.4
835,Sharks' Treasure,1975,95.0,1975,1,Cornel Wilde,Cornel Wilde,,,Cornel Wilde,Yaphet Kotto,John Neilson,Action,Adventure,,4.7
836,"Sheba, Baby",1975,90.0,1975,1,William Girdler,William Girdler,David Sheldon,,Pam Grier,Austin Stoker,D'Urville Martin,Action,Crime,Drama,5.7
837,Sixpack Annie,1975,88.0,1975,1,Fred G. Thorne,Norman Winski,David Kidd,Wil David,Lindsay Bloom,Jana Bellan,Joe Higgins,Action,Adventure,Comedy,4.2
838,Smile,1975,113.0,1975,1,Michael Ritchie,Jerry Belson,,,Bruce Dern,Barbara Feldon,Michael Kidd,Comedy,,,7.1
839,Smoke in the Wind,1975,98.0,1975,1,Joseph Kane,Eric Allen,,,John Ashley,John Russell,Myron Healey,Action,Drama,Romance,6.3
840,The Specialist,1975,110.0,1994,0,Luis Llosa,John Shirley,Alexandra Seros,,Sylvester Stallone,Sharon Stone,James Woods,Action,Drama,Thriller,5.6
841,The Stepford Wives,1975,93.0,2004,1,Frank Oz,Ira Levin,Paul Rudnick,,Nicole Kidman,Bette Midler,Matthew Broderick,Comedy,Horror,Sci-Fi,5.3
842,The Strongest Man in the World,1975,92.0,1975,1,Vincent McEveety,Joseph L. McEveety,Herman Groves,,Kurt Russell,Joe Flynn,Eve Arden,Comedy,Family,Sci-Fi,6.0
843,The Sunshine Boys,1975,111.0,1975,1,Herbert Ross,Neil Simon,,,Walter Matthau,George Burns,Richard Benjamin,Comedy,,,7.1
844,Supervixens,1975,106.0,1975,1,Russ Meyer,Russ Meyer,,,Charles Pitt,Shari Eubank,Charles Napier,Comedy,,,6.0
845,Switchblade Sisters,1975,91.0,1975,1,Jack Hill,F.X. Maier,Jack Hill,John Prizer,Robbie Lee,Joanne Nail,Monica Gayle,Action,Crime,Drama,6.6
846,Take a Hard Ride,1975,103.0,1975,1,Antonio Margheriti,Eric Bercovici,Jerrold L. Ludwig,,Jim Brown,Lee Van Cleef,Fred Williamson,Western,,,5.8
847,That's the Way of the World,1975,100.0,1975,1,Sig Shore,Robert Lipsyte,,,Harvey Keitel,Ed Nelson,Cynthia Bostick,Drama,Music,,6.2
848,The Timber Tramps,1975,98.0,1973,1,Tay Garnett,Chuck D. Keen,,,Leon Ames,Claude Akins,Tab Hunter,Adventure,,,5.5
849,Trucker's Woman,1975,81.0,1975,1,Will Zens,Joseph A. Alvarez,W. Henry Smith,,Michael Hawkins,Mary Cannon,Doodles Weaver,Action,Drama,,2.7
850,Tubby the Tuba,1975,81.0,1975,1,Alexander Schure,Paul Tripp,,,Dick Van Dyke,Pearl Bailey,Ruth Enders,Animation,Family,Musical,6.3
851,The Ultimate Warrior,1975,94.0,1975,1,Robert Clouse,Robert Clouse,,,Yul Brynner,Max von Sydow,Joanna Miles,Action,Sci-Fi,,5.7
852,W.W. and the Dixie Dancekings,1975,91.0,1975,1,John G. Avildsen,Thomas Rickman,,,Burt Reynolds,Art Carney,Conny Van Dyke,Comedy,,,5.9
853,Walking Tall Part 2,1975,109.0,1975,1,Earl Bellamy,Howard B. Kreitsek,,,Bo Svenson,Luke Askew,John Davis Chandler,Action,Biography,Crime,6.1
854,Whiffs,1975,91.0,1975,1,Ted Post,Malcolm Marmorstein,,,Elliott Gould,Eddie Albert,Harry Guardino,Comedy,Crime,,4.5
855,White Line Fever,1975,90.0,1975,1,Jonathan Kaplan,Ken Friedman,Jonathan Kaplan,,Jan-Michael Vincent,Kay Lenz,Slim Pickens,Action,Crime,Drama,6.1
856,The Wild McCullochs,1975,93.0,1975,1,Max Baer Jr.,Max Baer Jr.,,,Forrest Tucker,Julie Adams,Max Baer Jr.,Drama,Romance,,4.8
857,The Wild Party,1975,95.0,1975,1,James Ivory,Walter Marks,Joseph Moncure March,,James Coco,Raquel Welch,Perry King,Comedy,Drama,,5.5
858,The Wind and the Lion,1975,119.0,1975,1,John Milius,John Milius,,,Sean Connery,Candice Bergen,Brian Keith,Action,Adventure,Drama,6.9
859,Across the Great Divide,1976,100.0,1976,1,Stewart Raffill,Stewart Raffill,,,Robert Logan,Heather Rattray,Mark Edward Hall,Adventure,Family,Western,6.5
860,Alex and the Gypsy,1976,100.0,1976,1,John Korty,Stanley Elkin,Lawrence B. Marcus,,Jack Lemmon,Geneviève Bujold,James Woods,Comedy,Romance,,5.2
861,"Alice, Sweet Alice",1976,107.0,1976,1,Alfred Sole,Rosemary Ritvo,Alfred Sole,,Linda Miller,Mildred Clinton,Paula E. Sheppard,Crime,Drama,Horror,6.5
862,All the President's Men,1976,138.0,1976,1,Alan J. Pakula,Carl Bernstein,Bob Woodward,William Goldman,Dustin Hoffman,Robert Redford,Jack Warden,Drama,History,Thriller,8.0
863,Assault on Precinct 13,1976,91.0,1976,1,John Carpenter,John Carpenter,,,Austin Stoker,Darwin Joston,Laurie Zimmer,Action,Crime,Thriller,7.4
864,At the Earth's Core,1976,89.0,1976,1,Kevin Connor,Edgar Rice Burroughs,Milton Subotsky,,Doug McClure,Peter Cushing,Caroline Munro,Adventure,Fantasy,Sci-Fi,5.1
865,Baby Blue Marine,1976,90.0,1976,1,John D. Hancock,Stanford Whitmore,,,Jan-Michael Vincent,Glynnis O'Connor,Katherine Helmond,Drama,,,6.1
866,The Bad News Bears,1976,102.0,1976,1,Michael Ritchie,Bill Lancaster,,,Walter Matthau,Tatum O'Neal,Vic Morrow,Comedy,Drama,Family,7.3
867,The Big Bus,1976,88.0,1976,1,James Frawley,Fred Freeman,Lawrence J. Cohen,,Joseph Bologna,Stockard Channing,John Beck,Action,Comedy,,5.6
868,The Bingo Long Traveling All-Stars & Motor Kings,1976,110.0,1976,1,John Badham,William Brashler,Hal Barwood,Matthew Robbins,Billy Dee Williams,James Earl Jones,Richard Pryor,Comedy,Sport,,6.9
869,Bittersweet Love,1976,92.0,1976,1,David Miller,Adrian Morrall,D.A. Kellogg,,Lana Turner,Robert Lansing,Celeste Holm,Drama,Romance,,4.5
870,Black Heat,1976,94.0,1976,1,Al Adamson,John D'Amato,Sheldon Lee,Budd Donnelly,Timothy Brown,Russ Tamblyn,Jana Bellan,Action,Crime,Drama,4.0
871,Black Shampoo,1976,85.0,1976,1,Greydon Clark,Alvin L. Fast,Greydon Clark,,John Daniels,Tanya Boyd,Joseph Carlo,Action,Comedy,Crime,4.8
872,The Blue Bird,1976,99.0,1976,1,George Cukor,Maurice Maeterlinck,Hugh Whitemore,Alfred Hayes,Elizabeth Taylor,Jane Fonda,Cicely Tyson,Adventure,Drama,Family,5.5
873,Bobbie Jo and the Outlaw,1976,88.0,1976,1,Mark L. Lester,Vernon Zimmerman,,,Marjoe Gortner,Lynda Carter,Jesse Vint,Crime,Drama,Romance,5.3
874,Bound for Glory,1976,147.0,1976,1,Hal Ashby,Robert Getchell,Woody Guthrie,,David Carradine,Ronny Cox,Melinda Dillon,Biography,Drama,Music,7.3
875,Breaking Point,1976,100.0,2008,1,Rowan Woods,Roy Freirich,,,Kate Beckinsale,Forest Whitaker,Guy Pearce,Crime,Drama,,5.7
876,"Buffalo Bill and the Indians, or Sitting Bull's History Lesson",1976,123.0,1976,1,Robert Altman,Arthur Kopit,Alan Rudolph,Robert Altman,Paul Newman,Joel Grey,Kevin McCarthy,Comedy,Western,,6.1
877,Burnt Offerings,1976,116.0,1976,1,Dan Curtis,Robert Marasco,William F. Nolan,Dan Curtis,Karen Black,Oliver Reed,Burgess Meredith,Horror,Mystery,Thriller,6.5
878,Cannonball,1976,93.0,1976,1,Paul Bartel,Paul Bartel,Don Simpson,,David Carradine,Bill McKinney,Veronica Hamel,Action,Comedy,Crime,5.5
879,Car Wash,1976,97.0,1976,1,Michael Schultz,Joel Schumacher,,,Richard Pryor,Franklyn Ajaye,Ivan Dixon,Comedy,Drama,Romance,6.2
880,Carrie,1976,98.0,1976,1,Brian De Palma,Stephen King,Lawrence D. Cohen,,Sissy Spacek,Piper Laurie,Amy Irving,Horror,Mystery,,7.4
881,"Chesty Anderson, USN",1976,88.0,1976,1,Ed Forsyth,Paul Pumpian,H.F. Green,,Shari Eubank,Dorrie Thomson,Rosanne Katon,Comedy,,,4.6
882,Creature from Black Lake,1976,91.0,1976,1,Joy N. Houck Jr.,Jim McCullough Jr.,,,Jack Elam,Dub Taylor,Dennis Fimple,Drama,Horror,Mystery,5.0
883,Death Journey,1976,74.0,1976,1,Fred Williamson,Abel Jones,,,Fred Williamson,Bernie Kuby,Heidi Dobbs,Action,Crime,Drama,4.7
884,Deadly Hero,1976,102.0,1975,1,Ivan Nagy,Don Petersen,George Wislocki,,Don Murray,Diahn Williams,James Earl Jones,Crime,Drama,Thriller,5.9
885,Diary of the Dead,1976,95.0,2007,1,George A. Romero,George A. Romero,,,Michelle Morgan,Joshua Close,Shawn Roberts,Fantasy,Horror,Sci-Fi,5.6
886,Dixie Dynamite,1976,88.0,1976,1,Lee Frost,Wes Bishop,Lee Frost,,Warren Oates,Christopher George,Jane Anne Johnstone,Action,Drama,,5.2
887,"Dr. Black, Mr. Hyde",1976,87.0,1976,1,William Crain,Larry LeBron,Lawrence Woolner,,Bernie Casey,Rosalind Cash,Marie O'Henry,Horror,Sci-Fi,,5.2
888,Drive-In,1976,96.0,1976,1,Rod Amateau,Bob Peete,,,Lisa Oz,Glenn Morshower,Gary Lee Cavagnaro,Comedy,,,6.4
889,Drum,1976,110.0,1976,1,Steve Carver,Kyle Onstott,Norman Wexler,,Warren Oates,Isela Vega,Ken Norton,Action,Drama,,5.4
890,The Duchess and the Dirtwater Fox,1976,103.0,1976,1,Melvin Frank,Melvin Frank,Barry Sandler,Jack Rose,George Segal,Goldie Hawn,Conrad Janis,Comedy,Western,,5.7
891,Eat My Dust,1976,89.0,1976,1,Charles B. Griffith,Charles B. Griffith,,,Ron Howard,Christopher Norris,Brad David,Action,Comedy,Romance,5.4
892,Echoes of a Summer,1976,99.0,1976,1,Don Taylor,Robert L. Joseph,,,Richard Harris,Jodie Foster,Lois Nettleton,Drama,,,6.5
893,Embryo,1976,104.0,1976,1,Ralph Nelson,Anita Doohan,Jack W. Thomas,,Rock Hudson,Barbara Carrera,Diane Ladd,Horror,Sci-Fi,,5.1
894,Escape from the Dark,1976,104.0,1976,1,Charles Jarrott,Burt Kennedy,Rosemary Anne Sisson,,Alastair Sim,Peter Barkworth,Maurice Colbourne,Drama,Family,,7.0
895,Family Plot,1976,1.0,1976,1,Alfred Hitchcock,Ernest Lehman,Victor Canning,,Karen Black,Bruce Dern,Barbara Harris,Comedy,Crime,Drama,6.8
896,Fighting Mad,1976,90.0,1976,1,Jonathan Demme,Jonathan Demme,,,Peter Fonda,Gino Franco,Harry Northup,Action,Drama,,5.7
897,The First Nudie Musical,1976,97.0,1976,1,Mark Haggard,Bruce Kimmel,,,Stephen Nathan,Cindy Williams,Bruce Kimmel,Comedy,Musical,,5.3
898,The Food of the Gods,1976,88.0,1976,1,Bert I. Gordon,H.G. Wells,Bert I. Gordon,,Marjoe Gortner,Pamela Franklin,Ralph Meeker,Adventure,Horror,Sci-Fi,4.6
899,Freaky Friday,1976,97.0,2003,1,Mark Waters,Mary Rodgers,Heather Hach,Leslie Dixon,Jamie Lee Curtis,Lindsay Lohan,Mark Harmon,Comedy,Family,Fantasy,6.2
900,From Noon till Three,1976,99.0,1976,1,Frank D. Gilroy,Frank D. Gilroy,,,Charles Bronson,Jill Ireland,Douglas Fowley,Romance,Western,,6.6
901,The Front,1976,95.0,1976,1,Martin Ritt,Walter Bernstein,,,Woody Allen,Zero Mostel,Herschel Bernardi,Drama,,,7.3
902,Futureworld,1976,108.0,1976,1,Richard T. Heffron,Mayo Simon,George Schenck,,Peter Fonda,Blythe Danner,Arthur Hill,Sci-Fi,Thriller,,5.8
903,Gable and Lombard,1976,131.0,1976,1,Sidney J. Furie,Barry Sandler,,,James Brolin,Jill Clayburgh,Allen Garfield,Biography,Drama,Romance,5.2
904,God Told Me To,1976,91.0,1976,1,Larry Cohen,Larry Cohen,,,Tony Lo Bianco,Deborah Raffin,Sandy Dennis,Crime,Horror,Sci-Fi,6.3
905,The Great Scout & Cathouse Thursday,1976,102.0,1976,1,Don Taylor,Richard Alan Shapiro,,,Lee Marvin,Oliver Reed,Robert Culp,Comedy,Western,,6.2
906,The Great Texas Dynamite Chase,1976,90.0,1976,1,Michael Pressman,Peter Macgregor-Scott,Mark Bruce Rosin,,Claudia Jennings,Tara Strohmeier,Jocelyn Jones,Action,Comedy,Crime,5.9
907,Grizzly,1976,94.0,2015,1,David Hackl,Guy Moshe,J.R. Reher,,James Marsden,Thomas Jane,Piper Perabo,Action,Adventure,Drama,5.3
908,The Gumball Rally,1976,105.0,1976,1,Charles Bail,Leon Capetanos,Charles Bail,,Michael Sarrazin,Tim McIntire,Raul Julia,Comedy,,,6.3
909,Harry and Walter Go to New York,1976,115.0,1976,1,Mark Rydell,Don Devlin,John Byrum,Robert Kaufman,James Caan,Elliott Gould,Michael Caine,Comedy,Crime,,5.5
910,Hawmps!,1976,113.0,1976,1,Joe Camp,William Bickley,Joe Camp,Michael Warren,James Hampton,Christopher Connelly,Slim Pickens,Comedy,Family,Western,5.3
911,High Velocity,1976,105.0,1976,1,Remi Kramer,Remi Kramer,Michael Parsons,,Ben Gazzara,Britt Ekland,Paul Winfield,Action,Adventure,Drama,5.0
912,Hollywood Boulevard,1976,83.0,1976,1,Allan Arkush,Danny Opatoshu,,,Mary Woronov,Paul Bartel,George Wagner,Comedy,Thriller,,5.9
913,Hot Potato,1976,87.0,1976,1,Oscar Williams,Oscar Williams,Alexandra Rose,Fred Weintraub,Jim Kelly,George Memmoli,Geoffrey Binney,Action,Comedy,Drama,4.0
914,The Human Tornado,1976,96.0,1976,1,Cliff Roquemore,Jerry Jones,Rudy Ray Moore,Jimmy Lynch,Rudy Ray Moore,Lady Reed,Jimmy Lynch,Action,Comedy,Drama,6.2
915,"I Will, I Will... for Now",1976,107.0,1976,1,Norman Panama,Albert E. Lewin,Norman Panama,,Elliott Gould,Diane Keaton,Paul Sorvino,Comedy,Romance,,4.7
916,J. D.'s Revenge,1976,96.0,1976,1,Arthur Marks,Jaison Starkes,,,Glynn Turman,Louis Gossett Jr.,Joan Pringle,Action,Horror,Thriller,6.1
917,Jackson County Jail,1976,89.0,1976,1,Michael Miller,Donald E. Stewart,,,Yvette Mimieux,Tommy Lee Jones,Lisa Copeland,Action,Crime,Drama,6.1
918,"Jim, the World's Greatest",1976,94.0,1975,1,Don Coscarelli,Don Coscarelli,Craig Mitchell,,Gregory Harrison,Robbie Wolcott,Angus Scrimm,Drama,,,6.9
919,Joe Panther,1976,110.0,1976,1,Paul Krasny,Zachary Ball,Dale Eunson,,Brian Keith,Ricardo Montalban,Alan Feinstein,Drama,,,6.6
920,Killer Force,1976,93.0,1993,1,William Webb,Reed Steiner,,,Jeff Fahey,Yancy Butler,James Coburn,Action,Thriller,,5.5
921,The Killer Inside Me,1976,109.0,2010,1,Michael Winterbottom,John Curran,Jim Thompson,,Casey Affleck,Kate Hudson,Jessica Alba,Crime,Drama,Thriller,6.1
922,The Killing of a Chinese Bookie,1976,135.0,1976,1,John Cassavetes,John Cassavetes,,,Ben Gazzara,Timothy Carey,Seymour Cassel,Crime,Drama,Thriller,7.4
923,King Kong,1976,187.0,2005,1,Peter Jackson,Fran Walsh,Philippa Boyens,Peter Jackson,Naomi Watts,Jack Black,Adrien Brody,Action,Adventure,Drama,7.2
924,The Last Hard Men,1976,98.0,1976,1,Andrew V. McLaglen,Brian Garfield,Guerdon Trueblood,,Charlton Heston,James Coburn,Barbara Hershey,Western,,,6.2
925,Leadbelly,1976,126.0,1976,1,Gordon Parks,Ernest Kinoy,,,Roger E. Mosley,Paul Benjamin,Madge Sinclair,Biography,Drama,Music,7.2
926,Lifeguard,1976,96.0,1976,1,Daniel Petrie,Ron Koslow,,,Sam Elliott,Anne Archer,Stephen Young,Drama,,,6.6
927,Lipstick,1976,89.0,1976,1,Lamont Johnson,David Rayfiel,,,Margaux Hemingway,Chris Sarandon,Perry King,Crime,Drama,Thriller,5.5
928,Logan's Run,1976,119.0,1976,1,Michael Anderson,David Zelag Goodman,William F. Nolan,George Clayton Johnson,Michael York,Jenny Agutter,Richard Jordan,Action,Adventure,Sci-Fi,6.8
929,Mako: The Jaws of Death,1976,91.0,1976,1,William Grefé,William Grefé,Robert W. Morgan,,Richard Jaeckel,Jennifer Bishop,Buffy Dee,Action,Adventure,Comedy,4.1
930,Mansion of the Doomed,1976,89.0,1976,1,Michael Pataki,Frank Ray Perilli,,,Richard Basehart,Gloria Grahame,Trish Stewart,Horror,Thriller,,5.5
931,Marathon Man,1976,125.0,1976,1,John Schlesinger,William Goldman,,,Dustin Hoffman,Laurence Olivier,Roy Scheider,Crime,Thriller,,7.4
932,Massacre at Central High,1976,87.0,1976,1,Rene Daalder,Rene Daalder,,,Derrel Maury,Andrew Stevens,Robert Carradine,Drama,Horror,Thriller,6.1
933,A Matter of Time,1976,97.0,1976,1,Vincente Minnelli,Maurice Druon,John Gay,,Liza Minnelli,Ingrid Bergman,Charles Boyer,Drama,Fantasy,Romance,5.2
934,Mean Johnny Barrows,1976,90.0,1975,1,Fred Williamson,Jolivett Cato,Charles Walker,Jeff Williamson,Fred Williamson,Roddy McDowall,Stuart Whitman,Action,Crime,Drama,5.0
935,Midway,1976,138.0,2019,1,Roland Emmerich,Wes Tooke,,,Ed Skrein,Patrick Wilson,Woody Harrelson,Action,Drama,History,6.7
936,Mikey and Nicky,1976,106.0,1976,0,Elaine May,Elaine May,,,Rose Arrick,Carol Grace,William Hickey,Crime,Drama,,7.4
937,The Missouri Breaks,1976,126.0,1976,1,Arthur Penn,Thomas McGuane,Robert Towne,,Marlon Brando,Jack Nicholson,Randy Quaid,Drama,Western,,6.5
938,The Monkey Hustle,1976,90.0,1976,1,Arthur Marks,Charles Eric Johnson,Odie Hawkins,,Yaphet Kotto,Kirk Calloway,Thomas Carter,Comedy,Crime,Drama,5.3
939,"Mother, Jugs & Speed",1976,98.0,1976,1,Peter Yates,Stephen Manes,Tom Mankiewicz,,Bill Cosby,Raquel Welch,Harvey Keitel,Comedy,Drama,,5.9
940,Moving Violation,1976,91.0,1976,1,Charles S. Dubin,David Osterhout,William W. Norton,,Stephen McHattie,Kay Lenz,Eddie Albert,Comedy,Crime,Drama,5.5
941,Murder by Death,1976,95.0,1976,1,Robert Moore,Neil Simon,,,Peter Falk,Alec Guinness,Peter Sellers,Comedy,Crime,Mystery,7.4
942,Mustang Country,1976,79.0,1976,1,John C. Champion,John C. Champion,,,Joel McCrea,Robert Fuller,Patrick Wayne,Drama,Family,Western,6.2
943,Nashville Girl,1976,91.0,1976,1,Gus Trikonis,Peer J. Oppenheimer,,,Monica Gayle,Glenn Corbett,Roger Davis,Drama,Music,Romance,6.0
944,Network,1976,121.0,1976,1,Sidney Lumet,Paddy Chayefsky,,,Faye Dunaway,William Holden,Peter Finch,Drama,,,8.1
945,The Next Man,1976,108.0,1976,1,Richard C. Sarafian,Morton S. Fine,Alan Trustman,David M. Wolf,Sean Connery,Cornelia Sharpe,Albert Paulsen,Action,Thriller,,5.0
